### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.82; 31.3643; 0
10; 49.826; 22.3037; 0
20; 49.616; 14.2136; 0
30; 43.628; 8.09686; 0
40; 35.92; 4.86351; 0
50; 28.82; 3.56502; 0
60; 24.986; 3.25865; 0
70; 24.334; 3.13714; 0
80; 24.206; 3.07776; 0
90; 24.134; 3.05661; 0
100; 24.122; 3.04963; 0
110; 24.12; 3.04526; 0
120; 24.112; 3.04208; 0
130; 24.112; 3.04094; 0
140; 24.122; 3.03959; 0
150; 24.124; 3.03853; 0
160; 24.116; 3.03812; 0
170; 24.126; 3.03722; 0
180; 24.108; 3.03669; 0
190; 24.116; 3.03673; 0
200; 24.122; 3.03633; 0
210; 24.13; 3.03498; 0
220; 24.122; 3.03412; 0
230; 24.126; 3.03392; 0
240; 24.136; 3.03331; 0
250; 24.14; 3.03314; 0
260; 24.142; 3.03241; 0
270; 24.144; 3.03151; 0
280; 24.142; 3.03053; 0
290; 24.142; 3.0298; 0
300; 24.142; 3.02845; 0
310; 24.148; 3.02759; 0
320; 24.152; 3.02694; 0
330; 24.158; 3.0262; 0
340; 24.15; 3.02571; 0
350; 24.156; 3.02543; 0
360; 24.162; 3.0251; 0
370; 24.16; 3.02498; 0
380; 24.164; 3.02433; 0
390; 24.168; 3.02428; 0
400; 24.174; 3.02343; 0
410; 24.174; 3.02192; 0
420; 24.174; 3.02118; 0
430; 24.172; 3.0202; 0
440; 24.168; 3.01996; 0
450; 24.172; 3.01931; 0
460; 24.174; 3.01861; 0
470; 24.182; 3.018; 0
480; 24.176; 3.01784; 0
490; 24.178; 3.01727; 0
500; 24.182; 3.01657; 0
510; 24.18; 3.01612; 0
520; 24.18; 3.01543; 0
530; 24.186; 3.01453; 0
540; 24.194; 3.014; 0
550; 24.184; 3.01326; 0
560; 24.192; 3.01294; 0
570; 24.192; 3.01233; 0
580; 24.198; 3.01159; 0
590; 24.2; 3.0109; 0
600; 24.196; 3.01061; 0
610; 24.202; 3.00963; 0
620; 24.21; 3.00918; 0
630; 24.218; 3.00886; 0
640; 24.218; 3.00796; 0
650; 24.226; 3.00735; 0
660; 24.23; 3.00694; 0
670; 24.23; 3.00653; 0
680; 24.232; 3.00592; 0
690; 24.224; 3.00514; 0
700; 24.228; 3.00469; 0
710; 24.236; 3.004; 0
720; 24.238; 3.00335; 0
730; 24.24; 3.00265; 0
740; 24.246; 3.00163; 0
750; 24.246; 3.00114; 0
760; 24.248; 3.00037; 0
770; 24.246; 2.99963; 0
780; 24.25; 2.99828; 0
790; 24.254; 2.99686; 0
800; 24.26; 2.9962; 0
810; 24.25; 2.99567; 0
820; 24.254; 2.99506; 0
830; 24.262; 2.99465; 0
840; 24.264; 2.99343; 0
850; 24.264; 2.99298; 0
860; 24.268; 2.99204; 0
870; 24.278; 2.99167; 0
880; 24.294; 2.99122; 0
890; 24.284; 2.98996; 0
900; 24.288; 2.98918; 0
910; 24.288; 2.98877; 0
920; 24.288; 2.98804; 0
930; 24.288; 2.98722; 0
940; 24.28; 2.98681; 0
950; 24.286; 2.98677; 0
960; 24.298; 2.986; 0
970; 24.288; 2.98539; 0
980; 24.292; 2.98465; 0
990; 24.294; 2.98404; 0
0; 49.852; 31.3781; 0.25
10; 49.856; 22.6765; 0.25
20; 49.668; 14.9147; 0.25
30; 44.272; 8.59567; 0.25
40; 36.134; 5.25592; 0.25
50; 29.112; 4.12784; 0.25
60; 25.774; 3.81555; 0.25
70; 25.056; 3.6962; 0.25
80; 24.876; 3.64792; 0.25
90; 24.816; 3.62775; 0.25
100; 24.788; 3.61873; 0.25
110; 24.77; 3.61322; 0.25
120; 24.766; 3.61; 0.25
130; 24.772; 3.60816; 0.25
140; 24.772; 3.60694; 0.25
150; 24.774; 3.60702; 0.25
160; 24.784; 3.60596; 0.25
170; 24.788; 3.60526; 0.25
180; 24.792; 3.60437; 0.25
190; 24.798; 3.60363; 0.25
200; 24.792; 3.60302; 0.25
210; 24.798; 3.60163; 0.25
220; 24.798; 3.60114; 0.25
230; 24.808; 3.60053; 0.25
240; 24.812; 3.59979; 0.25
250; 24.812; 3.59882; 0.25
260; 24.808; 3.59779; 0.25
270; 24.802; 3.5971; 0.25
280; 24.818; 3.59567; 0.25
290; 24.818; 3.59477; 0.25
300; 24.82; 3.59404; 0.25
310; 24.826; 3.59314; 0.25
320; 24.836; 3.59228; 0.25
330; 24.842; 3.59139; 0.25
340; 24.85; 3.5911; 0.25
350; 24.852; 3.59061; 0.25
360; 24.85; 3.58992; 0.25
370; 24.858; 3.58926; 0.25
380; 24.864; 3.58857; 0.25
390; 24.868; 3.58816; 0.25
400; 24.87; 3.58735; 0.25
410; 24.87; 3.58682; 0.25
420; 24.876; 3.58641; 0.25
430; 24.878; 3.58604; 0.25
440; 24.878; 3.58535; 0.25
450; 24.88; 3.58441; 0.25
460; 24.878; 3.58388; 0.25
470; 24.892; 3.58257; 0.25
480; 24.898; 3.58179; 0.25
490; 24.894; 3.58175; 0.25
500; 24.904; 3.58102; 0.25
510; 24.906; 3.58041; 0.25
520; 24.904; 3.57963; 0.25
530; 24.9; 3.57873; 0.25
540; 24.904; 3.57767; 0.25
550; 24.914; 3.5771; 0.25
560; 24.914; 3.57665; 0.25
570; 24.924; 3.5758; 0.25
580; 24.934; 3.57469; 0.25
590; 24.94; 3.57433; 0.25
600; 24.94; 3.57367; 0.25
610; 24.936; 3.57274; 0.25
620; 24.952; 3.57261; 0.25
630; 24.952; 3.57135; 0.25
640; 24.952; 3.57069; 0.25
650; 24.956; 3.57; 0.25
660; 24.968; 3.56914; 0.25
670; 24.962; 3.56829; 0.25
680; 24.97; 3.56706; 0.25
690; 24.97; 3.56625; 0.25
700; 24.968; 3.56588; 0.25
710; 24.976; 3.56478; 0.25
720; 24.972; 3.56371; 0.25
730; 24.976; 3.56331; 0.25
740; 24.976; 3.56257; 0.25
750; 24.98; 3.5622; 0.25
760; 24.99; 3.56184; 0.25
770; 24.984; 3.56167; 0.25
780; 24.994; 3.56126; 0.25
790; 24.998; 3.56033; 0.25
800; 25; 3.55894; 0.25
810; 25; 3.5582; 0.25
820; 25.004; 3.55751; 0.25
830; 25; 3.55731; 0.25
840; 25.01; 3.55624; 0.25
850; 25.008; 3.55555; 0.25
860; 25.014; 3.55445; 0.25
870; 25.006; 3.55326; 0.25
880; 25.002; 3.55298; 0.25
890; 25.01; 3.55233; 0.25
900; 25.014; 3.55082; 0.25
910; 25.01; 3.54894; 0.25
920; 25.006; 3.54833; 0.25
930; 25.008; 3.54763; 0.25
940; 25.014; 3.54686; 0.25
950; 25.014; 3.54633; 0.25
960; 25.012; 3.5458; 0.25
970; 25.018; 3.54543; 0.25
980; 25.032; 3.5451; 0.25
990; 25.04; 3.54445; 0.25
0; 49.866; 31.3851; 0.5
10; 49.868; 23.2972; 0.5
20; 49.63; 15.9201; 0.5
30; 44.594; 9.30363; 0.5
40; 35.98; 5.36127; 0.5
50; 28.114; 4.22245; 0.5
60; 24.128; 3.94233; 0.5
70; 23.06; 3.84249; 0.5
80; 22.75; 3.80147; 0.5
90; 22.59; 3.78188; 0.5
100; 22.528; 3.77261; 0.5
110; 22.484; 3.76469; 0.5
120; 22.468; 3.76016; 0.5
130; 22.446; 3.75665; 0.5
140; 22.436; 3.75473; 0.5
150; 22.444; 3.75339; 0.5
160; 22.432; 3.75249; 0.5
170; 22.436; 3.75155; 0.5
180; 22.438; 3.7509; 0.5
190; 22.446; 3.75004; 0.5
200; 22.442; 3.74967; 0.5
210; 22.442; 3.74902; 0.5
220; 22.45; 3.74857; 0.5
230; 22.454; 3.74767; 0.5
240; 22.452; 3.74669; 0.5
250; 22.456; 3.74551; 0.5
260; 22.454; 3.74535; 0.5
270; 22.456; 3.74429; 0.5
280; 22.464; 3.74371; 0.5
290; 22.47; 3.74339; 0.5
300; 22.47; 3.74224; 0.5
310; 22.474; 3.74204; 0.5
320; 22.478; 3.74159; 0.5
330; 22.482; 3.74114; 0.5
340; 22.484; 3.73996; 0.5
350; 22.484; 3.73869; 0.5
360; 22.494; 3.73788; 0.5
370; 22.484; 3.73743; 0.5
380; 22.494; 3.73633; 0.5
390; 22.478; 3.73555; 0.5
400; 22.482; 3.7351; 0.5
410; 22.48; 3.73416; 0.5
420; 22.488; 3.73375; 0.5
