### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; varDist; param
1; 0.217429; 0
2; 0.251877; 0
3; 0.188612; 0
4; 0.154041; 0
5; 0.098041; 0
6; 0.0536736; 0
7; 0.0246531; 0
8; 0.00804081; 0
9; 0.00297959; 0
10; 0.000530612; 0
11; 0.000122449; 0
12; 0; 0
13; 0; 0
14; 0; 0
15; 0; 0
16; 0; 0
17; 0; 0
18; 0; 0
19; 0; 0
20; 0; 0
21; 0; 0
22; 0; 0
23; 0; 0
24; 0; 0
25; 0; 0
26; 0; 0
27; 0; 0
28; 0; 0
29; 0; 0
30; 0; 0
31; 0; 0
32; 0; 0
33; 0; 0
34; 0; 0
35; 0; 0
36; 0; 0
37; 0; 0
38; 0; 0
39; 0; 0
40; 0; 0
41; 0; 0
42; 0; 0
43; 0; 0
44; 0; 0
45; 0; 0
46; 0; 0
47; 0; 0
48; 0; 0
49; 0; 0
1; 0.157633; 0.25
2; 0.205102; 0.25
3; 0.17747; 0.25
4; 0.166204; 0.25
5; 0.125388; 0.25
6; 0.0832247; 0.25
7; 0.0476736; 0.25
8; 0.0218776; 0.25
9; 0.0101224; 0.25
10; 0.00346939; 0.25
11; 0.00130612; 0.25
12; 0.00044898; 0.25
13; 8.16327e-05; 0.25
14; 0; 0.25
15; 0; 0.25
16; 0; 0.25
17; 0; 0.25
18; 0; 0.25
19; 0; 0.25
20; 0; 0.25
21; 0; 0.25
22; 0; 0.25
23; 0; 0.25
24; 0; 0.25
25; 0; 0.25
26; 0; 0.25
27; 0; 0.25
28; 0; 0.25
29; 0; 0.25
30; 0; 0.25
31; 0; 0.25
32; 0; 0.25
33; 0; 0.25
34; 0; 0.25
35; 0; 0.25
36; 0; 0.25
37; 0; 0.25
38; 0; 0.25
39; 0; 0.25
40; 0; 0.25
41; 0; 0.25
42; 0; 0.25
43; 0; 0.25
44; 0; 0.25
45; 0; 0.25
46; 0; 0.25
47; 0; 0.25
48; 0; 0.25
49; 0; 0.25
1; 0.212245; 0.5
2; 0.183306; 0.5
3; 0.144816; 0.5
4; 0.128204; 0.5
5; 0.107796; 0.5
6; 0.0826124; 0.5
7; 0.0601634; 0.5
8; 0.0376327; 0.5
9; 0.0220409; 0.5
10; 0.0124898; 0.5
11; 0.0055102; 0.5
12; 0.002; 0.5
13; 0.000816327; 0.5
14; 0.000244898; 0.5
15; 0.000122449; 0.5
16; 0; 0.5
17; 0; 0.5
18; 0; 0.5
19; 0; 0.5
20; 0; 0.5
21; 0; 0.5
22; 0; 0.5
23; 0; 0.5
24; 0; 0.5
25; 0; 0.5
26; 0; 0.5
27; 0; 0.5
28; 0; 0.5
29; 0; 0.5
30; 0; 0.5
31; 0; 0.5
32; 0; 0.5
33; 0; 0.5
34; 0; 0.5
35; 0; 0.5
36; 0; 0.5
37; 0; 0.5
38; 0; 0.5
39; 0; 0.5
40; 0; 0.5
41; 0; 0.5
42; 0; 0.5
43; 0; 0.5
44; 0; 0.5
45; 0; 0.5
46; 0; 0.5
47; 0; 0.5
48; 0; 0.5
49; 0; 0.5
1; 0.297837; 0.75
2; 0.149021; 0.75
3; 0.104653; 0.75
4; 0.0862451; 0.75
5; 0.0734695; 0.75
6; 0.062898; 0.75
7; 0.0478776; 0.75
8; 0.0375919; 0.75
9; 0.034; 0.75
10; 0.0284898; 0.75
11; 0.0220408; 0.75
12; 0.018; 0.75
13; 0.0131837; 0.75
14; 0.00938775; 0.75
15; 0.00685714; 0.75
16; 0.00408163; 0.75
17; 0.0022449; 0.75
18; 0.000816326; 0.75
19; 0.000816327; 0.75
20; 0.000285714; 0.75
21; 0.000122449; 0.75
22; 8.16327e-05; 0.75
23; 0; 0.75
24; 0; 0.75
25; 0; 0.75
26; 0; 0.75
27; 0; 0.75
28; 0; 0.75
29; 0; 0.75
30; 0; 0.75
31; 0; 0.75
32; 0; 0.75
33; 0; 0.75
34; 0; 0.75
35; 0; 0.75
36; 0; 0.75
37; 0; 0.75
38; 0; 0.75
39; 0; 0.75
40; 0; 0.75
41; 0; 0.75
42; 0; 0.75
43; 0; 0.75
44; 0; 0.75
45; 0; 0.75
46; 0; 0.75
47; 0; 0.75
48; 0; 0.75
49; 0; 0.75
1; 0.336571; 1
2; 0.113469; 1
3; 0.0603266; 1
4; 0.0567348; 1
5; 0.0566531; 1
6; 0.0532245; 1
7; 0.0469796; 1
8; 0.0405306; 1
9; 0.0302857; 1
10; 0.0231021; 1
11; 0.0183265; 1
12; 0.0150612; 1
13; 0.012898; 1
14; 0.0105306; 1
15; 0.00685714; 1
16; 0.00604082; 1
17; 0.00493877; 1
18; 0.00383673; 1
19; 0.00440816; 1
20; 0.00289796; 1
21; 0.00220408; 1
22; 0.00236735; 1
23; 0.0022449; 1
24; 0.002; 1
25; 0.00195918; 1
26; 0.00285714; 1
27; 0.00477551; 1
28; 0.00640816; 1
29; 0.00918367; 1
30; 0.0136735; 1
31; 0.0142857; 1
32; 0.0121633; 1
33; 0.0105306; 1
34; 0.00620408; 1
35; 0.00314286; 1
36; 0.00179592; 1
37; 0.000408163; 1
38; 8.16327e-05; 1
39; 4.08163e-05; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
49; 0; 1
