### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0731102; 4.49813e-05; 1
0.075; 0.0629613; 9.24615e-05; 1
0.125; 0.0620294; 0.00049646; 1
0.175; 0.0807809; 0.00202749; 1
0.225; 0.0638393; 0.00833486; 1
0.275; 0.0586573; 0.021297; 1
0.325; 0.0878896; 0.0451678; 1
0.375; 0.0933658; 0.0945089; 1
0.425; 0.103013; 0.157681; 1
0.475; 0.10535; 0.164855; 1
0.525; 0.0894206; 0.186502; 1
0.575; 0.0725335; 0.139743; 1
0.625; 0.039827; 0.0938674; 1
0.675; 0.00722868; 0.0530462; 1
0.725; 0; 0.0221683; 1
0.775; 0; 0.00817827; 1
0.825; 0; 0.00146439; 1
0.875; 0; 0.000356518; 1
0.925; 0; 0.000166597; 1
0.975; 0; 0; 1
0.025; 0.0672152; 0; 7
0.075; 0.0693627; 0.000131612; 7
0.125; 0.0634935; 0.000478134; 7
0.175; 0.0673461; 0.00230404; 7
0.225; 0.0707456; 0.00773179; 7
0.275; 0.067566; 0.0205223; 7
0.325; 0.0794444; 0.0492703; 7
0.375; 0.0911353; 0.0950694; 7
0.425; 0.0964797; 0.14318; 7
0.475; 0.096877; 0.192863; 7
0.525; 0.0930828; 0.177275; 7
0.575; 0.0828771; 0.145745; 7
0.625; 0.0457635; 0.0878633; 7
0.675; 0.00839902; 0.0488872; 7
0.725; 0.000211579; 0.0194819; 7
0.775; 0; 0.00634403; 7
0.825; 0; 0.00217743; 7
0.875; 0; 0.000603082; 7
0.925; 0; 6.49729e-05; 7
0.975; 0; 4.99792e-06; 7
0.025; 0.0725258; 0.00069471; 49
0.075; 0.0738411; 0.00137859; 49
0.125; 0.0775287; 0.00273553; 49
0.175; 0.0818902; 0.00634653; 49
0.225; 0.0863092; 0.0133153; 49
0.275; 0.0901201; 0.0270996; 49
0.325; 0.0932297; 0.05211; 49
0.375; 0.095099; 0.0921741; 49
0.425; 0.091343; 0.132486; 49
0.475; 0.0868482; 0.163693; 49
0.525; 0.0729323; 0.17222; 49
0.575; 0.0526431; 0.1339; 49
0.625; 0.0219492; 0.0931645; 49
0.675; 0.00366848; 0.0557627; 49
0.725; 7.24698e-05; 0.0278593; 49
0.775; 1.66597e-06; 0.0132511; 49
0.825; 0; 0.00670887; 49
0.875; 0; 0.00289046; 49
0.925; 0; 0.00144273; 49
0.975; 0; 0.000765514; 49
0.025; 0.0720618; 0.000867139; 2401
0.075; 0.0759827; 0.00164765; 2401
0.125; 0.0799085; 0.00326031; 2401
0.175; 0.0832938; 0.00725031; 2401
0.225; 0.087737; 0.0149196; 2401
0.275; 0.0912464; 0.0289005; 2401
0.325; 0.0940886; 0.0555211; 2401
0.375; 0.0940852; 0.0904982; 2401
0.425; 0.0920269; 0.127064; 2401
0.475; 0.0849814; 0.17135; 2401
0.525; 0.071388; 0.165237; 2401
0.575; 0.0498352; 0.13011; 2401
0.625; 0.0202882; 0.0913819; 2401
0.675; 0.00299959; 0.054689; 2401
0.725; 7.91337e-05; 0.0300775; 2401
0.775; 0; 0.0142749; 2401
0.825; 0; 0.0068763; 2401
0.875; 0; 0.00347689; 2401
0.925; 0; 0.00170429; 2401
0.975; 0; 0.000892127; 2401
