### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.84; 31.364; 1
10; 49.842; 23.2177; 1
20; 49.604; 15.8357; 1
30; 44.612; 9.30963; 1
40; 36.172; 5.4898; 1
50; 28.316; 4.35555; 1
60; 24.386; 4.0718; 1
70; 23.466; 3.97286; 1
80; 23.17; 3.93188; 1
90; 23.016; 3.91004; 1
100; 22.934; 3.90078; 1
110; 22.916; 3.89571; 1
120; 22.914; 3.89135; 1
130; 22.906; 3.8889; 1
140; 22.92; 3.88702; 1
150; 22.922; 3.88588; 1
160; 22.92; 3.88498; 1
170; 22.922; 3.88425; 1
180; 22.918; 3.88359; 1
190; 22.926; 3.88163; 1
200; 22.922; 3.87963; 1
210; 22.916; 3.87857; 1
220; 22.92; 3.87763; 1
230; 22.92; 3.87706; 1
240; 22.92; 3.87645; 1
250; 22.932; 3.87641; 1
260; 22.938; 3.876; 1
270; 22.942; 3.87555; 1
280; 22.954; 3.87478; 1
290; 22.952; 3.87412; 1
300; 22.964; 3.87363; 1
310; 22.96; 3.87318; 1
320; 22.972; 3.87257; 1
330; 22.968; 3.87196; 1
340; 22.97; 3.8709; 1
350; 22.976; 3.87061; 1
360; 22.984; 3.86972; 1
370; 22.99; 3.86882; 1
380; 22.988; 3.86812; 1
390; 22.994; 3.86747; 1
400; 22.998; 3.86698; 1
410; 22.998; 3.86665; 1
420; 23; 3.86625; 1
430; 23.018; 3.86576; 1
440; 23.022; 3.86506; 1
450; 23.024; 3.86457; 1
460; 23.03; 3.86416; 1
470; 23.03; 3.86376; 1
480; 23.04; 3.86306; 1
490; 23.044; 3.86208; 1
500; 23.048; 3.86176; 1
510; 23.058; 3.86094; 1
520; 23.066; 3.85988; 1
530; 23.056; 3.85837; 1
540; 23.06; 3.85731; 1
550; 23.064; 3.85665; 1
560; 23.076; 3.85665; 1
570; 23.092; 3.856; 1
580; 23.09; 3.85486; 1
590; 23.094; 3.85233; 1
600; 23.094; 3.84976; 1
610; 23.1; 3.84825; 1
620; 23.106; 3.84825; 1
630; 23.106; 3.84723; 1
640; 23.116; 3.84674; 1
650; 23.12; 3.84584; 1
660; 23.118; 3.84563; 1
670; 23.118; 3.84568; 1
680; 23.134; 3.84535; 1
690; 23.13; 3.84441; 1
700; 23.13; 3.84355; 1
710; 23.132; 3.84347; 1
720; 23.142; 3.84298; 1
730; 23.146; 3.84229; 1
740; 23.152; 3.84176; 1
750; 23.154; 3.84102; 1
760; 23.154; 3.84037; 1
770; 23.156; 3.83992; 1
780; 23.16; 3.83947; 1
790; 23.156; 3.83927; 1
800; 23.166; 3.83829; 1
810; 23.158; 3.83767; 1
820; 23.166; 3.83731; 1
830; 23.164; 3.83678; 1
840; 23.174; 3.83629; 1
850; 23.17; 3.83588; 1
860; 23.172; 3.83572; 1
870; 23.168; 3.83543; 1
880; 23.17; 3.8347; 1
890; 23.168; 3.83425; 1
900; 23.174; 3.8338; 1
910; 23.172; 3.83355; 1
920; 23.182; 3.83327; 1
930; 23.186; 3.83261; 1
940; 23.196; 3.83163; 1
950; 23.194; 3.83143; 1
960; 23.2; 3.83078; 1
970; 23.19; 3.83016; 1
980; 23.194; 3.82963; 1
990; 23.2; 3.8287; 1
0; 49.862; 31.3666; 7
10; 49.866; 22.0959; 7
20; 49.666; 13.4711; 7
30; 44.564; 8.00318; 7
40; 36.544; 5.0807; 7
50; 29.784; 3.90057; 7
60; 26.382; 3.48792; 7
70; 25.24; 3.35461; 7
80; 24.93; 3.28665; 7
90; 24.768; 3.2482; 7
100; 24.684; 3.22833; 7
110; 24.666; 3.22012; 7
120; 24.654; 3.21629; 7
130; 24.646; 3.214; 7
140; 24.648; 3.21265; 7
150; 24.658; 3.21127; 7
160; 24.656; 3.2109; 7
170; 24.672; 3.21049; 7
180; 24.674; 3.21029; 7
190; 24.666; 3.21016; 7
200; 24.67; 3.20967; 7
210; 24.674; 3.20922; 7
220; 24.674; 3.2091; 7
230; 24.684; 3.20869; 7
240; 24.678; 3.20865; 7
250; 24.692; 3.20894; 7
260; 24.708; 3.20877; 7
270; 24.712; 3.20837; 7
280; 24.718; 3.2082; 7
290; 24.716; 3.20792; 7
300; 24.722; 3.20784; 7
310; 24.724; 3.2078; 7
320; 24.724; 3.20726; 7
330; 24.724; 3.2062; 7
340; 24.722; 3.2058; 7
350; 24.718; 3.20596; 7
360; 24.732; 3.20571; 7
370; 24.738; 3.20522; 7
380; 24.74; 3.20498; 7
390; 24.75; 3.2049; 7
400; 24.758; 3.20453; 7
410; 24.754; 3.20412; 7
420; 24.764; 3.2038; 7
430; 24.77; 3.20331; 7
440; 24.772; 3.20322; 7
450; 24.776; 3.20314; 7
460; 24.78; 3.20249; 7
470; 24.778; 3.20216; 7
480; 24.782; 3.20204; 7
490; 24.788; 3.20196; 7
500; 24.786; 3.20163; 7
510; 24.79; 3.20073; 7
520; 24.788; 3.20012; 7
530; 24.786; 3.20008; 7
540; 24.794; 3.1998; 7
550; 24.794; 3.19947; 7
560; 24.804; 3.19943; 7
570; 24.802; 3.1991; 7
580; 24.8; 3.19861; 7
590; 24.8; 3.19833; 7
600; 24.808; 3.198; 7
610; 24.814; 3.19767; 7
620; 24.824; 3.19722; 7
630; 24.82; 3.19673; 7
640; 24.82; 3.19665; 7
650; 24.824; 3.19616; 7
660; 24.82; 3.19555; 7
670; 24.822; 3.19449; 7
680; 24.81; 3.19343; 7
690; 24.81; 3.19274; 7
700; 24.814; 3.19257; 7
710; 24.826; 3.19225; 7
720; 24.824; 3.19188; 7
730; 24.834; 3.19188; 7
740; 24.834; 3.19114; 7
750; 24.832; 3.19074; 7
760; 24.844; 3.19061; 7
770; 24.838; 3.19025; 7
780; 24.848; 3.18996; 7
790; 24.842; 3.18996; 7
800; 24.84; 3.18976; 7
810; 24.846; 3.18996; 7
820; 24.85; 3.18971; 7
830; 24.852; 3.18951; 7
840; 24.854; 3.1891; 7
850; 24.856; 3.18873; 7
860; 24.864; 3.18812; 7
870; 24.856; 3.18796; 7
880; 24.852; 3.18792; 7
890; 24.862; 3.18784; 7
900; 24.862; 3.18755; 7
910; 24.87; 3.18722; 7
920; 24.876; 3.18686; 7
930; 24.876; 3.18633; 7
940; 24.878; 3.18531; 7
950; 24.88; 3.18482; 7
960; 24.874; 3.18433; 7
970; 24.876; 3.18433; 7
980; 24.878; 3.18437; 7
990; 24.888; 3.18445; 7
0; 49.844; 31.3582; 49
10; 49.852; 23.2615; 49
20; 49.894; 16.192; 49
30; 49.626; 11.1872; 49
40; 47.47; 8.68882; 49
50; 44.366; 7.71694; 49
60; 42.644; 7.34135; 49
70; 41.842; 7.1742; 49
80; 41.538; 7.09318; 49
90; 41.376; 7.04747; 49
100; 41.29; 7.02163; 49
110; 41.264; 7.00649; 49
120; 41.242; 6.99796; 49
130; 41.232; 6.99384; 49
140; 41.224; 6.98935; 49
150; 41.23; 6.98572; 49
160; 41.236; 6.98114; 49
170; 41.238; 6.97849; 49
