### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0626544; 0.000149938; 10
0.075; 0.0830776; 0.00141024; 10
0.125; 0.0822308; 0.00180092; 10
0.175; 0.0649701; 0.00616326; 10
0.225; 0.0494238; 0.0117426; 10
0.275; 0.0858925; 0.0284756; 10
0.325; 0.0939091; 0.056224; 10
0.375; 0.0840297; 0.0891319; 10
0.425; 0.0948673; 0.135183; 10
0.475; 0.103312; 0.163298; 10
0.525; 0.0872246; 0.168866; 10
0.575; 0.0702166; 0.144302; 10
0.625; 0.0333964; 0.0879133; 10
0.675; 0.00480549; 0.0545655; 10
0.725; 0; 0.0311362; 10
0.775; 0; 0.012883; 10
0.825; 0; 0.0037651; 10
0.875; 0; 0.0021641; 10
0.925; 0; 0.000684715; 10
0.975; 0; 0.000141608; 10
0.025; 0.0514004; 1.66597e-06; 25
0.075; 0.0795805; 0.00016743; 25
0.125; 0.0792111; 0.000936278; 25
0.175; 0.0687283; 0.00312703; 25
0.225; 0.0889536; 0.00813162; 25
0.275; 0.0651224; 0.0250746; 25
0.325; 0.0858797; 0.0530254; 25
0.375; 0.0888657; 0.0875392; 25
0.425; 0.103135; 0.144012; 25
0.475; 0.0909208; 0.170872; 25
0.525; 0.0827444; 0.186724; 25
0.575; 0.0698757; 0.135806; 25
0.625; 0.0374006; 0.0989952; 25
0.675; 0.00818912; 0.0513178; 25
0.725; 0; 0.0229713; 25
0.775; 0; 0.00810996; 25
0.825; 0; 0.00197834; 25
0.875; 0; 0.00103707; 25
0.925; 0; 0.000166597; 25
0.975; 0; 4.99792e-06; 25
0.025; 0.0609482; 4.41483e-05; 50
0.075; 0.0792254; 0.000169096; 50
0.125; 0.0575879; 0.000743857; 50
0.175; 0.0522924; 0.002; 50
0.225; 0.053886; 0.00762267; 50
0.275; 0.0614511; 0.018808; 50
0.325; 0.080305; 0.0499059; 50
0.375; 0.09049; 0.0947753; 50
0.425; 0.104384; 0.133761; 50
0.475; 0.100817; 0.187453; 50
0.525; 0.115035; 0.190507; 50
0.575; 0.0933267; 0.148844; 50
0.625; 0.0426208; 0.0866246; 50
0.675; 0.0076352; 0.0467314; 50
0.725; 0; 0.0197926; 50
0.775; 0; 0.00895628; 50
0.825; 0; 0.00198334; 50
0.875; 0; 0.00101708; 50
0.925; 0; 0.000179092; 50
0.975; 0; 8.07997e-05; 50
0.025; 0.0682012; 4.16493e-05; 75
0.075; 0.0558497; 0.000122449; 75
0.125; 0.0498693; 0.000289879; 75
0.175; 0.0579134; 0.00286298; 75
0.225; 0.0708021; 0.00767515; 75
0.275; 0.0795635; 0.0187205; 75
0.325; 0.0780841; 0.047666; 75
0.375; 0.0858817; 0.0940115; 75
0.425; 0.104243; 0.15005; 75
0.475; 0.106982; 0.172462; 75
0.525; 0.0939812; 0.185202; 75
0.575; 0.081215; 0.147704; 75
0.625; 0.0529215; 0.0907412; 75
0.675; 0.0144956; 0.0497551; 75
0.725; 0; 0.0223674; 75
0.775; 0; 0.00758352; 75
0.825; 0; 0.00202332; 75
0.875; 0; 0.000538109; 75
0.925; 0; 0.000140775; 75
0.975; 0; 3.99833e-05; 75
0.025; 0.0722704; 6.66389e-06; 100
0.075; 0.0528292; 4.91462e-05; 100
0.125; 0.0535761; 0.000293211; 100
0.175; 0.0566888; 0.00188172; 100
0.225; 0.0749779; 0.00746523; 100
0.275; 0.0758334; 0.0215111; 100
0.325; 0.090051; 0.0449188; 100
0.375; 0.0908065; 0.0908079; 100
0.425; 0.102303; 0.153772; 100
0.475; 0.112412; 0.180058; 100
0.525; 0.0961009; 0.178875; 100
0.575; 0.0725133; 0.147469; 100
0.625; 0.0416085; 0.096787; 100
0.675; 0.00716949; 0.0476959; 100
0.725; 0.000862134; 0.018389; 100
0.775; 0; 0.00733778; 100
0.825; 0; 0.00200916; 100
0.875; 0; 0.000461474; 100
0.925; 0; 0.000171595; 100
0.975; 0; 3.91504e-05; 100
