### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0551939; 0; 0.01
0.075; 0.0712379; 0.000121616; 0.01
0.125; 0.0647584; 0.000694711; 0.01
0.175; 0.0656969; 0.00207997; 0.01
0.225; 0.0929085; 0.00753103; 0.01
0.275; 0.0766727; 0.0228439; 0.01
0.325; 0.0787767; 0.0432037; 0.01
0.375; 0.10837; 0.0918816; 0.01
0.425; 0.100147; 0.152133; 0.01
0.475; 0.0896637; 0.174234; 0.01
0.525; 0.0686225; 0.198503; 0.01
0.575; 0.068536; 0.141399; 0.01
0.625; 0.0431781; 0.090174; 0.01
0.675; 0.0147998; 0.0454844; 0.01
0.725; 0.00144358; 0.0211654; 0.01
0.775; 0; 0.00569846; 0.01
0.825; 0; 0.00191587; 0.01
0.875; 0; 0.000773845; 0.01
0.925; 0; 0.000161599; 0.01
0.975; 0; 0; 0.01
0.025; 0.0638705; 3.33195e-06; 0.025
0.075; 0.0761326; 0.000273219; 0.025
0.125; 0.0454395; 0.000563099; 0.025
0.175; 0.0490887; 0.00177093; 0.025
0.225; 0.0642625; 0.00597668; 0.025
0.275; 0.0940006; 0.0204998; 0.025
0.325; 0.0856022; 0.0574045; 0.025
0.375; 0.0890773; 0.0920556; 0.025
0.425; 0.109813; 0.139649; 0.025
0.475; 0.109597; 0.168711; 0.025
0.525; 0.0829457; 0.191272; 0.025
0.575; 0.0793183; 0.150692; 0.025
0.625; 0.039851; 0.0935916; 0.025
0.675; 0.0110063; 0.0471295; 0.025
0.725; 0; 0.02006; 0.025
0.775; 0; 0.00693045; 0.025
0.825; 0; 0.00250896; 0.025
0.875; 0; 0.000696376; 0.025
0.925; 0; 0.000210746; 0.025
0.975; 0; 0; 0.025
0.025; 0.0788287; 4.99792e-06; 0.05
0.075; 0.0628495; 0.00024823; 0.05
0.125; 0.045492; 0.000743024; 0.05
0.175; 0.0565291; 0.00211245; 0.05
0.225; 0.0627689; 0.00781009; 0.05
0.275; 0.0817802; 0.0204207; 0.05
0.325; 0.0801776; 0.0486531; 0.05
0.375; 0.0871246; 0.101728; 0.05
0.425; 0.104075; 0.137618; 0.05
0.475; 0.101789; 0.191049; 0.05
0.525; 0.111988; 0.175937; 0.05
0.575; 0.0693905; 0.149903; 0.05
0.625; 0.0444591; 0.087585; 0.05
0.675; 0.0125939; 0.0489171; 0.05
0.725; 0.000158268; 0.0162507; 0.05
0.775; 0; 0.00771846; 0.05
0.825; 0; 0.00237401; 0.05
0.875; 0; 0.000741358; 0.05
0.925; 0; 0.000178259; 0.05
0.975; 0; 4.99792e-06; 0.05
0.025; 0.06458; 0.000107455; 0.075
0.075; 0.0793853; 0.000151604; 0.075
0.125; 0.06256; 0.000743857; 0.075
0.175; 0.0739808; 0.00354103; 0.075
0.225; 0.0784807; 0.008803; 0.075
0.275; 0.0713578; 0.0262899; 0.075
0.325; 0.0843432; 0.046858; 0.075
0.375; 0.0858119; 0.0926354; 0.075
0.425; 0.0839084; 0.146573; 0.075
0.475; 0.103639; 0.17592; 0.075
0.525; 0.0870281; 0.182612; 0.075
0.575; 0.0757453; 0.136495; 0.075
0.625; 0.0395886; 0.090937; 0.075
0.675; 0.00959438; 0.0520899; 0.075
0.725; 0; 0.0226564; 0.075
0.775; 0; 0.00953437; 0.075
0.825; 0; 0.00293628; 0.075
0.875; 0; 0.000877135; 0.075
0.925; 0; 0.000204082; 0.075
0.975; 0; 3.41524e-05; 0.075
0.025; 0.0764097; 0.000156601; 0.1
0.075; 0.0725453; 0.000397334; 0.1
0.125; 0.0886209; 0.00165598; 0.1
0.175; 0.0849003; 0.00483298; 0.1
0.225; 0.0901648; 0.0122566; 0.1
0.275; 0.0797966; 0.0286872; 0.1
0.325; 0.0739265; 0.0559692; 0.1
0.375; 0.0836875; 0.0932968; 0.1
0.425; 0.0775901; 0.137684; 0.1
0.475; 0.082862; 0.161156; 0.1
0.525; 0.090948; 0.1661; 0.1
0.575; 0.0554793; 0.141012; 0.1
0.625; 0.0328072; 0.0981373; 0.1
0.675; 0.0102632; 0.0538368; 0.1
0.725; 0; 0.0268888; 0.1
0.775; 0; 0.0111728; 0.1
0.825; 0; 0.00466472; 0.1
0.875; 0; 0.00145939; 0.1
0.925; 0; 0.000469804; 0.1
0.975; 0; 0.000164098; 0.1
