### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.84; 31.3715; 0.01
10; 49.848; 23.2988; 0.01
20; 49.634; 15.9091; 0.01
30; 44.798; 9.10858; 0.01
40; 36.058; 3.81163; 0.01
50; 25.172; 1.58792; 0.01
60; 12.854; 1.4889; 0.01
70; 12.234; 1.45604; 0.01
80; 11.922; 1.43857; 0.01
90; 11.744; 1.42624; 0.01
100; 11.608; 1.41865; 0.01
110; 11.522; 1.41592; 0.01
120; 11.488; 1.41457; 0.01
130; 11.486; 1.41294; 0.01
140; 11.48; 1.41176; 0.01
150; 11.468; 1.41155; 0.01
160; 11.466; 1.41131; 0.01
170; 11.462; 1.41135; 0.01
180; 11.46; 1.41127; 0.01
190; 11.456; 1.4111; 0.01
200; 11.464; 1.41143; 0.01
210; 11.46; 1.41127; 0.01
220; 11.458; 1.41147; 0.01
230; 11.462; 1.41155; 0.01
240; 11.458; 1.41147; 0.01
250; 11.468; 1.41151; 0.01
260; 11.466; 1.41143; 0.01
270; 11.466; 1.41139; 0.01
280; 11.464; 1.41147; 0.01
290; 11.466; 1.41155; 0.01
300; 11.47; 1.41167; 0.01
310; 11.47; 1.41159; 0.01
320; 11.474; 1.41159; 0.01
330; 11.47; 1.41114; 0.01
340; 11.466; 1.41094; 0.01
350; 11.478; 1.4109; 0.01
360; 11.478; 1.41082; 0.01
370; 11.476; 1.41057; 0.01
380; 11.486; 1.41078; 0.01
390; 11.484; 1.41029; 0.01
400; 11.49; 1.41033; 0.01
410; 11.496; 1.4102; 0.01
420; 11.492; 1.41061; 0.01
430; 11.498; 1.41041; 0.01
440; 11.5; 1.41029; 0.01
450; 11.5; 1.41008; 0.01
460; 11.506; 1.4098; 0.01
470; 11.506; 1.40959; 0.01
480; 11.512; 1.40992; 0.01
490; 11.514; 1.41008; 0.01
500; 11.51; 1.41008; 0.01
510; 11.516; 1.40984; 0.01
520; 11.508; 1.40967; 0.01
530; 11.508; 1.40971; 0.01
540; 11.516; 1.40984; 0.01
550; 11.51; 1.40963; 0.01
560; 11.512; 1.40959; 0.01
570; 11.52; 1.40947; 0.01
