### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; varDist; param
1; 0.639796; 0.01
2; 0.310572; 0.01
3; 0.0373879; 0.01
4; 0.00987755; 0.01
5; 0.00204082; 0.01
6; 0.000285714; 0.01
7; 4.08163e-05; 0.01
8; 0; 0.01
9; 0; 0.01
10; 0; 0.01
11; 0; 0.01
12; 0; 0.01
13; 0; 0.01
14; 0; 0.01
15; 0; 0.01
16; 0; 0.01
17; 0; 0.01
18; 0; 0.01
19; 0; 0.01
20; 0; 0.01
21; 0; 0.01
22; 0; 0.01
23; 0; 0.01
24; 0; 0.01
25; 0; 0.01
26; 0; 0.01
27; 0; 0.01
28; 0; 0.01
29; 0; 0.01
30; 0; 0.01
31; 0; 0.01
32; 0; 0.01
33; 0; 0.01
34; 0; 0.01
35; 0; 0.01
36; 0; 0.01
37; 0; 0.01
38; 0; 0.01
39; 0; 0.01
40; 0; 0.01
41; 0; 0.01
42; 0; 0.01
43; 0; 0.01
44; 0; 0.01
45; 0; 0.01
46; 0; 0.01
47; 0; 0.01
48; 0; 0.01
49; 0; 0.01
1; 0.464286; 0.025
2; 0.304694; 0.025
3; 0.114531; 0.025
4; 0.0624491; 0.025
5; 0.0311837; 0.025
6; 0.0144082; 0.025
7; 0.00604081; 0.025
8; 0.00208163; 0.025
9; 0.000326531; 0.025
10; 0; 0.025
11; 0; 0.025
12; 0; 0.025
13; 0; 0.025
14; 0; 0.025
15; 0; 0.025
16; 0; 0.025
17; 0; 0.025
18; 0; 0.025
19; 0; 0.025
20; 0; 0.025
21; 0; 0.025
22; 0; 0.025
23; 0; 0.025
24; 0; 0.025
25; 0; 0.025
26; 0; 0.025
27; 0; 0.025
28; 0; 0.025
29; 0; 0.025
30; 0; 0.025
31; 0; 0.025
32; 0; 0.025
33; 0; 0.025
34; 0; 0.025
35; 0; 0.025
36; 0; 0.025
37; 0; 0.025
38; 0; 0.025
39; 0; 0.025
40; 0; 0.025
41; 0; 0.025
42; 0; 0.025
43; 0; 0.025
44; 0; 0.025
45; 0; 0.025
46; 0; 0.025
47; 0; 0.025
48; 0; 0.025
49; 0; 0.025
1; 0.211143; 0.05
2; 0.186367; 0.05
3; 0.142776; 0.05
4; 0.126327; 0.05
5; 0.107592; 0.05
6; 0.0821227; 0.05
7; 0.0597961; 0.05
8; 0.0401226; 0.05
9; 0.0225307; 0.05
10; 0.0124898; 0.05
11; 0.0052653; 0.05
12; 0.0022449; 0.05
13; 0.000979592; 0.05
14; 0.000204082; 0.05
15; 4.08163e-05; 0.05
16; 0; 0.05
17; 0; 0.05
18; 0; 0.05
19; 0; 0.05
20; 0; 0.05
