### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0613314; 8.32986e-07; 0.005
0.075; 0.0685503; 0.000289046; 0.005
0.125; 0.074137; 0.000406497; 0.005
0.175; 0.070715; 0.00244648; 0.005
0.225; 0.0601618; 0.00750855; 0.005
0.275; 0.0612639; 0.0191379; 0.005
0.325; 0.0625365; 0.0501608; 0.005
0.375; 0.0848257; 0.0925205; 0.005
0.425; 0.0961695; 0.162798; 0.005
0.475; 0.111194; 0.179206; 0.005
0.525; 0.106339; 0.174648; 0.005
0.575; 0.0888119; 0.133099; 0.005
0.625; 0.0478612; 0.0927187; 0.005
0.675; 0.00610829; 0.0553694; 0.005
0.725; 0; 0.0200167; 0.005
0.775; 0; 0.00614578; 0.005
0.825; 0; 0.00275469; 0.005
0.875; 0; 0.000640566; 0.005
0.925; 0; 8.91295e-05; 0.005
0.975; 0; 4.24823e-05; 0.005
0.025; 0.0655406; 8.32986e-07; 0.0075
0.075; 0.0625731; 4.74802e-05; 0.0075
0.125; 0.0647942; 0.000542274; 0.0075
0.175; 0.069842; 0.00187172; 0.0075
0.225; 0.0652722; 0.00727281; 0.0075
0.275; 0.0757554; 0.0241341; 0.0075
0.325; 0.0749857; 0.0483049; 0.0075
0.375; 0.0937264; 0.0929387; 0.0075
0.425; 0.089754; 0.154784; 0.0075
0.475; 0.104459; 0.163797; 0.0075
0.525; 0.105395; 0.186467; 0.0075
0.575; 0.0886521; 0.149764; 0.0075
0.625; 0.036714; 0.0971211; 0.0075
0.675; 0.00254309; 0.0450154; 0.0075
0.725; 0; 0.0178001; 0.0075
0.775; 0; 0.00669971; 0.0075
0.825; 0; 0.00257226; 0.0075
0.875; 0; 0.000728863; 0.0075
0.925; 0; 0.000130779; 0.0075
0.975; 0; 5.8309e-06; 0.0075
0.025; 0.070537; 0; 0.01
0.075; 0.0603113; 6.83049e-05; 0.01
0.125; 0.0658954; 0.000722199; 0.01
0.175; 0.071468; 0.00221325; 0.01
0.225; 0.0707306; 0.00740942; 0.01
0.275; 0.0747749; 0.0191271; 0.01
0.325; 0.0881755; 0.0512803; 0.01
0.375; 0.0697302; 0.0964147; 0.01
0.425; 0.0784384; 0.149469; 0.01
0.475; 0.0931565; 0.190634; 0.01
0.525; 0.0989783; 0.167595; 0.01
0.575; 0.0975039; 0.145755; 0.01
0.625; 0.0536904; 0.0863631; 0.01
0.675; 0.00583172; 0.0507322; 0.01
0.725; 0.000783003; 0.0220841; 0.01
0.775; 0; 0.00689047; 0.01
0.825; 0; 0.00263974; 0.01
0.875; 0; 0.000501458; 0.01
0.925; 0; 9.66264e-05; 0.01
0.975; 0; 2.49896e-06; 0.01
0.025; 0.0784606; 7.49688e-06; 0.025
0.075; 0.0571925; 0.000109121; 0.025
0.125; 0.0560842; 0.000564765; 0.025
0.175; 0.0597743; 0.00205831; 0.025
0.225; 0.0685772; 0.00844732; 0.025
0.275; 0.083127; 0.0239825; 0.025
0.325; 0.0797502; 0.0442707; 0.025
0.375; 0.086679; 0.0908346; 0.025
0.425; 0.112; 0.15131; 0.025
0.475; 0.10171; 0.18115; 0.025
0.525; 0.0930538; 0.179769; 0.025
0.575; 0.0681091; 0.137962; 0.025
0.625; 0.0448281; 0.095929; 0.025
0.675; 0.00957267; 0.0481808; 0.025
0.725; 0.00108538; 0.0230246; 0.025
0.775; 0; 0.00901625; 0.025
0.825; 0; 0.00288463; 0.025
0.875; 0; 0.000422324; 0.025
0.925; 0; 6.49729e-05; 0.025
0.975; 0; 9.99584e-06; 0.025
0.025; 0.0814336; 0.000123282; 0.05
0.075; 0.0568351; 0.000219075; 0.05
0.125; 0.0688539; 0.000596418; 0.05
0.175; 0.0816935; 0.00295294; 0.05
0.225; 0.0741466; 0.00871637; 0.05
0.275; 0.0722848; 0.0236152; 0.05
0.325; 0.083221; 0.0525581; 0.05
0.375; 0.0874892; 0.0910236; 0.05
0.425; 0.0975851; 0.137045; 0.05
0.475; 0.086618; 0.178947; 0.05
0.525; 0.0885172; 0.189189; 0.05
0.575; 0.0758517; 0.130182; 0.05
0.625; 0.0398551; 0.0977766; 0.05
0.675; 0.00462972; 0.0523857; 0.05
0.725; 0.000987082; 0.0238234; 0.05
0.775; 0; 0.00736527; 0.05
0.825; 0; 0.00264473; 0.05
0.875; 0; 0.000610579; 0.05
0.925; 0; 0.000178259; 0.05
0.975; 0; 4.49813e-05; 0.05
