### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.838; 31.3757; 0.005
10; 49.844; 22.2839; 0.005
20; 49.292; 13.8355; 0.005
30; 42.484; 7.34502; 0.005
40; 33.868; 4.64576; 0.005
50; 26.512; 3.75637; 0.005
60; 22.642; 3.42331; 0.005
70; 21.194; 3.27037; 0.005
80; 20.738; 3.18796; 0.005
90; 20.454; 3.14686; 0.005
100; 20.338; 3.12588; 0.005
110; 20.288; 3.1142; 0.005
120; 20.24; 3.10702; 0.005
130; 20.226; 3.102; 0.005
140; 20.204; 3.098; 0.005
150; 20.204; 3.09535; 0.005
160; 20.212; 3.09306; 0.005
170; 20.2; 3.09155; 0.005
180; 20.19; 3.08988; 0.005
190; 20.192; 3.08853; 0.005
200; 20.184; 3.08784; 0.005
210; 20.196; 3.08739; 0.005
220; 20.186; 3.0871; 0.005
230; 20.19; 3.08645; 0.005
240; 20.188; 3.08563; 0.005
250; 20.186; 3.08502; 0.005
260; 20.184; 3.0842; 0.005
270; 20.18; 3.08355; 0.005
280; 20.188; 3.08335; 0.005
290; 20.198; 3.08273; 0.005
300; 20.2; 3.08241; 0.005
310; 20.206; 3.08188; 0.005
320; 20.19; 3.08037; 0.005
330; 20.198; 3.07873; 0.005
340; 20.2; 3.07833; 0.005
350; 20.206; 3.0771; 0.005
360; 20.206; 3.07653; 0.005
370; 20.206; 3.07604; 0.005
380; 20.214; 3.07498; 0.005
390; 20.216; 3.07343; 0.005
400; 20.218; 3.07282; 0.005
410; 20.222; 3.07175; 0.005
420; 20.226; 3.0711; 0.005
430; 20.232; 3.07; 0.005
440; 20.23; 3.06906; 0.005
450; 20.234; 3.06771; 0.005
460; 20.224; 3.06629; 0.005
470; 20.226; 3.06563; 0.005
480; 20.222; 3.06514; 0.005
490; 20.212; 3.06494; 0.005
500; 20.226; 3.06469; 0.005
510; 20.22; 3.06347; 0.005
520; 20.226; 3.0629; 0.005
530; 20.234; 3.06155; 0.005
540; 20.222; 3.06069; 0.005
550; 20.228; 3.06; 0.005
560; 20.23; 3.05943; 0.005
570; 20.238; 3.05882; 0.005
