### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; varDist; param
1; 0.304612; 0.005
2; 0.230735; 0.005
3; 0.131755; 0.005
4; 0.10951; 0.005
5; 0.0798369; 0.005
6; 0.0599594; 0.005
7; 0.0379185; 0.005
8; 0.023796; 0.005
9; 0.0111837; 0.005
10; 0.00616326; 0.005
11; 0.00302041; 0.005
12; 0.00102041; 0.005
13; 0.000285714; 0.005
14; 0.000163265; 0.005
15; 4.08163e-05; 0.005
16; 0; 0.005
17; 0; 0.005
18; 0; 0.005
19; 0; 0.005
20; 0; 0.005
21; 0; 0.005
22; 0; 0.005
23; 0; 0.005
24; 0; 0.005
25; 0; 0.005
26; 0; 0.005
27; 0; 0.005
28; 0; 0.005
29; 0; 0.005
30; 0; 0.005
31; 0; 0.005
32; 0; 0.005
33; 0; 0.005
34; 0; 0.005
35; 0; 0.005
36; 0; 0.005
37; 0; 0.005
38; 0; 0.005
39; 0; 0.005
40; 0; 0.005
41; 0; 0.005
42; 0; 0.005
43; 0; 0.005
44; 0; 0.005
45; 0; 0.005
46; 0; 0.005
47; 0; 0.005
48; 0; 0.005
49; 0; 0.005
1; 0.254857; 0.0075
2; 0.197429; 0.0075
3; 0.141143; 0.0075
4; 0.119184; 0.0075
5; 0.0978369; 0.0075
6; 0.0728165; 0.0075
7; 0.0524899; 0.0075
8; 0.0326531; 0.0075
9; 0.0171429; 0.0075
10; 0.00893877; 0.0075
11; 0.00330612; 0.0075
12; 0.00146939; 0.0075
13; 0.00044898; 0.0075
14; 0.000204082; 0.0075
15; 8.16327e-05; 0.0075
16; 0; 0.0075
17; 0; 0.0075
18; 0; 0.0075
19; 0; 0.0075
20; 0; 0.0075
21; 0; 0.0075
22; 0; 0.0075
23; 0; 0.0075
24; 0; 0.0075
25; 0; 0.0075
26; 0; 0.0075
27; 0; 0.0075
28; 0; 0.0075
29; 0; 0.0075
30; 0; 0.0075
31; 0; 0.0075
32; 0; 0.0075
33; 0; 0.0075
34; 0; 0.0075
35; 0; 0.0075
36; 0; 0.0075
37; 0; 0.0075
38; 0; 0.0075
39; 0; 0.0075
40; 0; 0.0075
41; 0; 0.0075
42; 0; 0.0075
43; 0; 0.0075
44; 0; 0.0075
45; 0; 0.0075
46; 0; 0.0075
47; 0; 0.0075
48; 0; 0.0075
49; 0; 0.0075
1; 0.225347; 0.01
2; 0.174408; 0.01
3; 0.137265; 0.01
4; 0.128653; 0.01
5; 0.103388; 0.01
6; 0.0832655; 0.01
7; 0.0610614; 0.01
8; 0.041347; 0.01
9; 0.0214286; 0.01
10; 0.0127347; 0.01
11; 0.00657143; 0.01
12; 0.00257143; 0.01
13; 0.00114286; 0.01
14; 0.000571429; 0.01
15; 0.000122449; 0.01
16; 8.16327e-05; 0.01
17; 4.08163e-05; 0.01
18; 0; 0.01
19; 0; 0.01
20; 0; 0.01
21; 0; 0.01
22; 0; 0.01
23; 0; 0.01
24; 0; 0.01
25; 0; 0.01
26; 0; 0.01
27; 0; 0.01
28; 0; 0.01
29; 0; 0.01
30; 0; 0.01
31; 0; 0.01
32; 0; 0.01
33; 0; 0.01
34; 0; 0.01
