### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0724054; 4.41483e-05; 0
0.075; 0.0676825; 0.000142441; 0
0.125; 0.0766203; 0.000685548; 0
0.175; 0.0699595; 0.00149688; 0
0.225; 0.0675788; 0.00825573; 0
0.275; 0.0757796; 0.0212712; 0
0.325; 0.0576652; 0.0485998; 0
0.375; 0.0873549; 0.0891777; 0
0.425; 0.087623; 0.140309; 0
0.475; 0.109136; 0.188315; 0
0.525; 0.0940972; 0.19636; 0
0.575; 0.0711756; 0.141341; 0
0.625; 0.0511082; 0.0873543; 0
0.675; 0.0104957; 0.046708; 0
0.725; 0.00132445; 0.020364; 0
0.775; 0; 0.00672803; 0
0.825; 0; 0.00210746; 0
0.875; 0; 0.000612245; 0
0.925; 0; 0.000121616; 0
0.975; 0; 5.8309e-06; 0
0.025; 0.0610326; 4.08163e-05; 1
0.075; 0.0495357; 7.66347e-05; 1
0.125; 0.0687151; 0.00045481; 1
0.175; 0.0684324; 0.00265057; 1
0.225; 0.0779195; 0.00929697; 1
0.275; 0.0823384; 0.0227789; 1
0.325; 0.0794638; 0.0472711; 1
0.375; 0.10506; 0.0917741; 1
0.425; 0.0937429; 0.141593; 1
0.475; 0.0799177; 0.193282; 1
0.525; 0.0889842; 0.17432; 1
0.575; 0.0719294; 0.143025; 1
0.625; 0.0582269; 0.0912285; 1
0.675; 0.014624; 0.048908; 1
0.725; 8.24657e-05; 0.0222266; 1
0.775; 0; 0.0083407; 1
0.825; 0; 0.0024015; 1
0.875; 0; 0.00027905; 1
0.925; 0; 4.83132e-05; 1
0.975; 0; 8.32986e-07; 1
0.025; 0.0511963; 0; 2
0.075; 0.0640517; 0.00020075; 2
0.125; 0.0511122; 0.000603915; 2
0.175; 0.0568372; 0.00331695; 2
0.225; 0.0657684; 0.00662808; 2
0.275; 0.0825116; 0.0199017; 2
0.325; 0.0874571; 0.0516835; 2
0.375; 0.082584; 0.095844; 2
0.425; 0.103015; 0.138887; 2
0.475; 0.103657; 0.192668; 2
0.525; 0.0961044; 0.174264; 2
0.575; 0.0868891; 0.13675; 2
0.625; 0.0562593; 0.0961423; 2
0.675; 0.0125606; 0.0515626; 2
0.725; 0; 0.0208688; 2
0.775; 0; 0.00777177; 2
0.825; 0; 0.00221241; 2
0.875; 0; 0.000604748; 2
0.925; 0; 8.41316e-05; 2
0.975; 0; 4.16493e-06; 2
