### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.846; 31.3549; 0
10; 49.854; 22.7147; 0
20; 49.364; 14.9525; 0
30; 43.38; 8.41755; 0
40; 34.72; 5.09996; 0
50; 26.96; 4.10151; 0
60; 22.898; 3.75122; 0
70; 21.53; 3.60216; 0
80; 20.946; 3.52343; 0
90; 20.658; 3.48098; 0
100; 20.524; 3.4622; 0
110; 20.43; 3.45069; 0
120; 20.388; 3.44257; 0
130; 20.362; 3.4378; 0
140; 20.336; 3.43408; 0
150; 20.334; 3.43224; 0
160; 20.332; 3.43082; 0
170; 20.314; 3.42894; 0
180; 20.312; 3.4282; 0
190; 20.32; 3.42739; 0
200; 20.318; 3.42657; 0
210; 20.312; 3.4251; 0
220; 20.308; 3.42441; 0
230; 20.296; 3.42363; 0
240; 20.3; 3.42314; 0
250; 20.306; 3.42282; 0
260; 20.308; 3.42269; 0
270; 20.31; 3.42229; 0
280; 20.31; 3.422; 0
290; 20.31; 3.42123; 0
300; 20.316; 3.4211; 0
310; 20.314; 3.42102; 0
320; 20.316; 3.42004; 0
330; 20.308; 3.41833; 0
340; 20.306; 3.41616; 0
350; 20.298; 3.41539; 0
360; 20.302; 3.41502; 0
370; 20.298; 3.41314; 0
380; 20.298; 3.4118; 0
390; 20.298; 3.41045; 0
400; 20.298; 3.40931; 0
410; 20.31; 3.40882; 0
420; 20.302; 3.40808; 0
430; 20.308; 3.40694; 0
440; 20.302; 3.40494; 0
450; 20.31; 3.40412; 0
460; 20.308; 3.40343; 0
470; 20.308; 3.40302; 0
480; 20.31; 3.40253; 0
490; 20.318; 3.40249; 0
500; 20.318; 3.40155; 0
510; 20.314; 3.39959; 0
520; 20.31; 3.39935; 0
530; 20.318; 3.39886; 0
540; 20.316; 3.39841; 0
550; 20.318; 3.39723; 0
560; 20.314; 3.39576; 0
570; 20.314; 3.39408; 0
580; 20.314; 3.39372; 0
590; 20.316; 3.39318; 0
600; 20.312; 3.39261; 0
610; 20.316; 3.39131; 0
620; 20.31; 3.39033; 0
630; 20.306; 3.38886; 0
640; 20.304; 3.38816; 0
650; 20.306; 3.38776; 0
660; 20.308; 3.38772; 0
670; 20.31; 3.38772; 0
680; 20.322; 3.38763; 0
690; 20.33; 3.38751; 0
700; 20.33; 3.38694; 0
710; 20.324; 3.38674; 0
720; 20.32; 3.38629; 0
730; 20.326; 3.38629; 0
740; 20.332; 3.38621; 0
750; 20.34; 3.38506; 0
760; 20.342; 3.38404; 0
770; 20.348; 3.38335; 0
780; 20.346; 3.38249; 0
790; 20.344; 3.382; 0
800; 20.336; 3.38139; 0
810; 20.338; 3.38123; 0
820; 20.352; 3.38065; 0
830; 20.344; 3.37976; 0
840; 20.344; 3.37918; 0
850; 20.346; 3.37886; 0
860; 20.348; 3.37882; 0
870; 20.352; 3.37759; 0
880; 20.36; 3.37678; 0
890; 20.35; 3.37543; 0
900; 20.35; 3.37245; 0
910; 20.338; 3.37082; 0
920; 20.324; 3.36984; 0
930; 20.322; 3.36951; 0
940; 20.33; 3.36927; 0
950; 20.332; 3.36898; 0
960; 20.346; 3.36837; 0
970; 20.332; 3.36788; 0
980; 20.342; 3.36755; 0
990; 20.332; 3.3671; 0
0; 49.842; 31.3816; 1
10; 49.85; 23.259; 1
20; 49.58; 15.8744; 1
30; 44.662; 9.28714; 1
40; 35.88; 5.40796; 1
50; 28.17; 4.25967; 1
60; 24.044; 3.96322; 1
70; 23.086; 3.85604; 1
80; 22.69; 3.81033; 1
90; 22.538; 3.78931; 1
100; 22.464; 3.77812; 1
110; 22.422; 3.77225; 1
120; 22.422; 3.76918; 1
130; 22.426; 3.76698; 1
140; 22.424; 3.76433; 1
150; 22.418; 3.76265; 1
160; 22.426; 3.76155; 1
170; 22.422; 3.76069; 1
180; 22.426; 3.75996; 1
190; 22.428; 3.75841; 1
200; 22.424; 3.75824; 1
210; 22.424; 3.75759; 1
220; 22.438; 3.75722; 1
230; 22.434; 3.75653; 1
240; 22.438; 3.75612; 1
250; 22.434; 3.75575; 1
260; 22.44; 3.7551; 1
270; 22.446; 3.75424; 1
280; 22.45; 3.75404; 1
290; 22.458; 3.75355; 1
300; 22.45; 3.75339; 1
310; 22.458; 3.75282; 1
320; 22.458; 3.75261; 1
330; 22.468; 3.75212; 1
340; 22.47; 3.75163; 1
350; 22.47; 3.75057; 1
360; 22.474; 3.75061; 1
370; 22.48; 3.74996; 1
380; 22.482; 3.74959; 1
390; 22.482; 3.74902; 1
400; 22.49; 3.7482; 1
410; 22.49; 3.74767; 1
420; 22.49; 3.7469; 1
430; 22.49; 3.74633; 1
440; 22.488; 3.74633; 1
450; 22.492; 3.74629; 1
460; 22.506; 3.74604; 1
470; 22.512; 3.74596; 1
480; 22.512; 3.74588; 1
490; 22.518; 3.74596; 1
500; 22.526; 3.74596; 1
510; 22.518; 3.74535; 1
520; 22.512; 3.74486; 1
530; 22.514; 3.74441; 1
540; 22.518; 3.74396; 1
550; 22.52; 3.74306; 1
560; 22.522; 3.74294; 1
570; 22.524; 3.74237; 1
580; 22.522; 3.742; 1
590; 22.524; 3.74159; 1
600; 22.54; 3.74098; 1
610; 22.536; 3.74057; 1
620; 22.542; 3.73992; 1
630; 22.542; 3.73914; 1
640; 22.536; 3.73886; 1
650; 22.55; 3.73873; 1
660; 22.542; 3.73849; 1
670; 22.552; 3.73816; 1
680; 22.546; 3.73739; 1
690; 22.548; 3.73714; 1
700; 22.558; 3.73625; 1
710; 22.554; 3.73523; 1
