### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0448171; 1.66597e-06; 2.5e-05
0.075; 0.0518764; 0.000174094; 2.5e-05
0.125; 0.0584451; 0.00057726; 2.5e-05
0.175; 0.0755787; 0.00226156; 2.5e-05
0.225; 0.0774294; 0.0084165; 2.5e-05
0.275; 0.0785867; 0.0213345; 2.5e-05
0.325; 0.0849682; 0.0496826; 2.5e-05
0.375; 0.0935356; 0.0934342; 2.5e-05
0.425; 0.105959; 0.131801; 2.5e-05
0.475; 0.102064; 0.180741; 2.5e-05
0.525; 0.0910434; 0.200642; 2.5e-05
0.575; 0.0795165; 0.140321; 2.5e-05
0.625; 0.046081; 0.0846097; 2.5e-05
0.675; 0.0101033; 0.05389; 2.5e-05
0.725; 8.32986e-07; 0.0213953; 2.5e-05
0.775; 0; 0.00727281; 2.5e-05
0.825; 0; 0.00239567; 2.5e-05
0.875; 0; 0.000937942; 2.5e-05
0.925; 0; 0.000108288; 2.5e-05
0.975; 0; 1.66597e-06; 2.5e-05
0.025; 0.0616356; 2.49896e-06; 5e-05
0.075; 0.0661133; 0.00017576; 5e-05
0.125; 0.0638487; 0.000752186; 5e-05
0.175; 0.0672213; 0.00270304; 5e-05
0.225; 0.0799311; 0.00685382; 5e-05
0.275; 0.0797402; 0.0233436; 5e-05
0.325; 0.0888932; 0.0479392; 5e-05
0.375; 0.0840543; 0.08976; 5e-05
0.425; 0.103193; 0.140558; 5e-05
0.475; 0.0966501; 0.178054; 5e-05
0.525; 0.0972933; 0.181374; 5e-05
0.575; 0.071549; 0.15747; 5e-05
0.625; 0.0310973; 0.0922996; 5e-05
0.675; 0.00878553; 0.0472711; 5e-05
0.725; 0; 0.0201999; 5e-05
0.775; 0; 0.0083815; 5e-05
0.825; 0; 0.00204165; 5e-05
0.875; 0; 0.000643065; 5e-05
0.925; 0; 9.49604e-05; 5e-05
0.975; 0; 8.07997e-05; 5e-05
0.025; 0.0632739; 4.74802e-05; 0.0001
0.075; 0.0577322; 0.000101624; 0.0001
0.125; 0.0648008; 0.000379009; 0.0001
0.175; 0.0737078; 0.00259059; 0.0001
0.225; 0.0831564; 0.00655144; 0.0001
0.275; 0.0830164; 0.0186014; 0.0001
0.325; 0.0778501; 0.0531545; 0.0001
0.375; 0.0810166; 0.0878749; 0.0001
0.425; 0.0928391; 0.137392; 0.0001
0.475; 0.0879394; 0.186039; 0.0001
0.525; 0.0829974; 0.186894; 0.0001
0.575; 0.0790957; 0.152255; 0.0001
0.625; 0.0654324; 0.0920283; 0.0001
0.675; 0.00714619; 0.0459767; 0.0001
0.725; 0; 0.0201441; 0.0001
0.775; 0; 0.00771679; 0.0001
0.825; 0; 0.00164598; 0.0001
0.875; 0; 0.000508955; 0.0001
0.925; 0; 9.74594e-05; 0.0001
0.975; 0; 0; 0.0001
0.025; 0.062835; 4.08163e-05; 0.00025
0.075; 0.0447166; 0.000134111; 0.00025
0.125; 0.0565307; 0.00060808; 0.00025
0.175; 0.0721751; 0.00220908; 0.00025
0.225; 0.0754263; 0.00701292; 0.00025
0.275; 0.0731139; 0.022509; 0.00025
0.325; 0.0752686; 0.0493444; 0.00025
0.375; 0.083209; 0.0911793; 0.00025
0.425; 0.0915987; 0.149327; 0.00025
0.475; 0.108771; 0.182245; 0.00025
0.525; 0.102802; 0.182491; 0.00025
0.575; 0.0923928; 0.133675; 0.00025
0.625; 0.0524433; 0.10167; 0.00025
0.675; 0.00872138; 0.0484457; 0.00025
0.725; 0; 0.0196493; 0.00025
0.775; 0; 0.00640234; 0.00025
0.825; 0; 0.0022449; 0.00025
0.875; 0; 0.000595585; 0.00025
0.925; 0; 0.00017576; 0.00025
0.975; 0; 3.91504e-05; 0.00025
