### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.8; 31.3133; 2.5e-05
10; 49.8; 23.2104; 2.5e-05
20; 49.528; 15.8655; 2.5e-05
30; 44.732; 9.28503; 2.5e-05
40; 36.218; 5.3511; 2.5e-05
50; 28.142; 4.17727; 2.5e-05
60; 23.896; 3.87388; 2.5e-05
70; 22.722; 3.76784; 2.5e-05
80; 22.394; 3.72502; 2.5e-05
90; 22.254; 3.70478; 2.5e-05
100; 22.196; 3.69477; 2.5e-05
110; 22.156; 3.68894; 2.5e-05
120; 22.134; 3.68437; 2.5e-05
130; 22.112; 3.68175; 2.5e-05
140; 22.106; 3.68028; 2.5e-05
150; 22.1; 3.67898; 2.5e-05
160; 22.094; 3.67779; 2.5e-05
170; 22.09; 3.6773; 2.5e-05
180; 22.09; 3.67698; 2.5e-05
190; 22.09; 3.6769; 2.5e-05
200; 22.092; 3.67681; 2.5e-05
210; 22.092; 3.67624; 2.5e-05
220; 22.088; 3.67571; 2.5e-05
230; 22.086; 3.67551; 2.5e-05
240; 22.088; 3.67526; 2.5e-05
250; 22.092; 3.67482; 2.5e-05
260; 22.09; 3.67477; 2.5e-05
270; 22.094; 3.67457; 2.5e-05
280; 22.096; 3.67441; 2.5e-05
290; 22.096; 3.67437; 2.5e-05
300; 22.098; 3.67424; 2.5e-05
310; 22.094; 3.67404; 2.5e-05
320; 22.094; 3.67396; 2.5e-05
330; 22.096; 3.67388; 2.5e-05
340; 22.096; 3.67384; 2.5e-05
