### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0736069; 6.4e-06; 25
0.075; 0.0457665; 9.6e-05; 25
0.125; 0.0593441; 0.000608; 25
0.175; 0.0785889; 0.0016256; 25
0.225; 0.0833857; 0.0087488; 25
0.275; 0.0806753; 0.018592; 25
0.325; 0.106512; 0.0432448; 25
0.375; 0.090301; 0.0880544; 25
0.425; 0.0852642; 0.155034; 25
0.475; 0.0894434; 0.195971; 25
0.525; 0.0899938; 0.17904; 25
0.575; 0.0751522; 0.145264; 25
0.625; 0.0384225; 0.0881087; 25
0.675; 0.0035456; 0.0418688; 25
0.725; 0; 0.02136; 25
0.775; 0; 0.0077856; 25
0.825; 0; 0.003984; 25
0.875; 0; 0.0005184; 25
0.925; 0; 8.64e-05; 25
0.975; 0; 3.2e-06; 25
0.025; 0.0764175; 1.54321e-06; 36
0.075; 0.0574025; 0.000121914; 36
0.125; 0.052375; 0.000515432; 36
0.175; 0.0676343; 0.0020571; 36
0.225; 0.0735988; 0.0083858; 36
0.275; 0.0721358; 0.021787; 36
0.325; 0.0702763; 0.0438411; 36
0.375; 0.0927654; 0.0910387; 36
0.425; 0.102952; 0.149439; 36
0.475; 0.108239; 0.187783; 36
0.525; 0.097216; 0.177962; 36
0.575; 0.0758796; 0.141; 36
0.625; 0.0478502; 0.0978027; 36
0.675; 0.00525311; 0.0471605; 36
0.725; 3.08642e-06; 0.0196991; 36
0.775; 0; 0.00850771; 36
0.825; 0; 0.00181327; 36
0.875; 0; 0.000796296; 36
0.925; 0; 0.00028858; 36
0.975; 0; 1.54321e-06; 36
0.025; 0.0576913; 9.99583e-06; 49
0.075; 0.0550277; 0.000131612; 49
0.125; 0.0568991; 0.000475635; 49
0.175; 0.0617568; 0.00204998; 49
0.225; 0.0776869; 0.00722116; 49
0.275; 0.0756346; 0.0225731; 49
0.325; 0.0671221; 0.0469579; 49
0.375; 0.0908682; 0.0943465; 49
0.425; 0.100454; 0.131993; 49
0.475; 0.111465; 0.194461; 49
0.525; 0.106889; 0.167577; 49
0.575; 0.0822494; 0.164607; 49
0.625; 0.0483451; 0.0843672; 49
0.675; 0.00791503; 0.0503598; 49
0.725; 0; 0.0228763; 49
0.775; 0; 0.00683882; 49
0.825; 0; 0.00220325; 49
0.875; 0; 0.000764682; 49
0.925; 0; 9.66264e-05; 49
0.975; 0; 8.74636e-05; 49
0.025; 0.067938; 6.25e-05; 64
0.075; 0.0797114; 7.51953e-05; 64
0.125; 0.0631094; 0.000565918; 64
0.175; 0.0628315; 0.00205371; 64
0.225; 0.0738579; 0.00779932; 64
0.275; 0.0823555; 0.0181602; 64
0.325; 0.0679526; 0.0502661; 64
0.375; 0.0827188; 0.0930293; 64
0.425; 0.0765347; 0.146744; 64
0.475; 0.100845; 0.176956; 64
0.525; 0.096418; 0.186273; 64
0.575; 0.0875723; 0.154252; 64
0.625; 0.0460298; 0.0818838; 64
0.675; 0.0103394; 0.0473091; 64
0.725; 0.00178564; 0.0222759; 64
0.775; 0; 0.0090625; 64
0.825; 0; 0.00226709; 64
0.875; 0; 0.000853516; 64
0.925; 0; 0.00010791; 64
0.975; 0; 3.41797e-06; 64
0.025; 0.0420854; 5.39552e-05; 81
0.075; 0.0663847; 0.000167352; 81
0.125; 0.0667381; 0.000906874; 81
0.175; 0.0687476; 0.00272672; 81
0.225; 0.0698758; 0.00839079; 81
0.275; 0.0775277; 0.0210517; 81
0.325; 0.0809205; 0.0496484; 81
0.375; 0.0885656; 0.089372; 81
0.425; 0.0941323; 0.155173; 81
0.475; 0.0938546; 0.171356; 81
0.525; 0.099816; 0.186155; 81
0.575; 0.0851938; 0.13579; 81
0.625; 0.0596945; 0.0988847; 81
0.675; 0.00641136; 0.0473591; 81
0.725; 2.22527e-05; 0.0226127; 81
0.775; 0; 0.00651578; 81
0.825; 0; 0.00308398; 81
0.875; 0; 0.000596555; 81
0.925; 0; 0.000110654; 81
0.975; 0; 2.8959e-05; 81
0.025; 0.0700592; 2.3e-05; 100
0.075; 0.0691439; 6.92e-05; 100
0.125; 0.0644624; 0.000854199; 100
0.175; 0.0548922; 0.0020448; 100
0.225; 0.0643907; 0.00914742; 100
0.275; 0.0773554; 0.0199625; 100
0.325; 0.0815023; 0.0486931; 100
0.375; 0.0909035; 0.0991473; 100
0.425; 0.0973641; 0.144881; 100
0.475; 0.0986775; 0.178389; 100
0.525; 0.10462; 0.173847; 100
0.575; 0.0747141; 0.144791; 100
0.625; 0.0435873; 0.0966083; 100
0.675; 0.00832792; 0.0504336; 100
0.725; 0; 0.0211616; 100
0.775; 0; 0.00706781; 100
0.825; 0; 0.002173; 100
0.875; 0; 0.0005838; 100
0.925; 0; 9.65999e-05; 100
0.975; 0; 2.22e-05; 100
