### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.844; 19.7993; 25
10; 49.84; 9.84592; 25
20; 36.796; 3.94472; 25
30; 21.49; 3.04208; 25
40; 17.992; 2.88192; 25
50; 17.372; 2.83256; 25
60; 17.16; 2.81584; 25
70; 17.102; 2.81024; 25
80; 17.068; 2.80768; 25
90; 17.062; 2.8056; 25
100; 17.054; 2.80472; 25
110; 17.04; 2.80424; 25
120; 17.038; 2.804; 25
130; 17.04; 2.80392; 25
140; 17.04; 2.80304; 25
150; 17.04; 2.80176; 25
160; 17.04; 2.80144; 25
170; 17.036; 2.80128; 25
180; 17.04; 2.8004; 25
190; 17.036; 2.80008; 25
200; 17.036; 2.7992; 25
210; 17.03; 2.79848; 25
220; 17.034; 2.79808; 25
230; 17.036; 2.79776; 25
240; 17.038; 2.79688; 25
250; 17.038; 2.79552; 25
260; 17.04; 2.79472; 25
270; 17.042; 2.79448; 25
280; 17.04; 2.79304; 25
290; 17.038; 2.79232; 25
300; 17.042; 2.7912; 25
310; 17.034; 2.79056; 25
320; 17.032; 2.78992; 25
330; 17.03; 2.78944; 25
340; 17.026; 2.7892; 25
350; 17.028; 2.78848; 25
360; 17.028; 2.78824; 25
370; 17.028; 2.788; 25
380; 17.026; 2.78776; 25
390; 17.026; 2.7872; 25
400; 17.03; 2.7864; 25
410; 17.03; 2.78616; 25
420; 17.036; 2.78608; 25
430; 17.032; 2.78576; 25
440; 17.038; 2.78576; 25
450; 17.042; 2.78576; 25
460; 17.044; 2.78592; 25
470; 17.04; 2.78536; 25
480; 17.044; 2.78448; 25
490; 17.048; 2.78464; 25
500; 17.042; 2.78368; 25
510; 17.05; 2.78328; 25
520; 17.052; 2.7828; 25
530; 17.048; 2.782; 25
540; 17.044; 2.7816; 25
