### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; varDist; param
1; 0.29312; 25
2; 0.24648; 25
3; 0.16736; 25
4; 0.12992; 25
5; 0.0884002; 25
6; 0.0437601; 25
7; 0.01992; 25
8; 0.00784; 25
9; 0.0028; 25
10; 0.00024; 25
11; 0.00016; 25
12; 0; 25
13; 0; 25
14; 0; 25
15; 0; 25
16; 0; 25
17; 0; 25
18; 0; 25
19; 0; 25
20; 0; 25
21; 0; 25
22; 0; 25
23; 0; 25
24; 0; 25
25; 0; 25
26; 0; 25
27; 0; 25
28; 0; 25
29; -3.33469; 25
30; 0; 25
31; -3.36936e-24; 25
32; 0; 25
33; 0; 25
34; 0; 25
35; 0; 25
36; 0; 25
37; 0.000233447; 25
38; 0; 25
39; 0.000648617; 25
40; 0; 25
41; -3.38237e-24; 25
42; 0; 25
43; -3.38238e-24; 25
44; 0; 25
45; -3.38238e-24; 25
46; 0; 25
47; 0; 25
48; 0; 25
49; -3.38236e-24; 25
1; 0.265; 36
2; 0.206778; 36
3; 0.156389; 36
4; 0.128444; 36
5; 0.0978335; 36
6; 0.0667223; 36
7; 0.0387778; 36
8; 0.0209444; 36
9; 0.0108889; 36
10; 0.00455556; 36
11; 0.00255556; 36
12; 0.000777778; 36
13; 0.000166667; 36
14; 0.000166667; 36
15; 0; 36
16; 0; 36
17; 0; 36
18; 0; 36
19; 0; 36
20; 0; 36
21; 0; 36
22; 0; 36
23; 0; 36
24; 0; 36
25; 0; 36
26; 0; 36
27; 0; 36
28; 0; 36
29; 0; 36
30; 0; 36
31; 0; 36
32; 0; 36
33; 0; 36
34; 0; 36
35; 0; 36
36; 0; 36
37; 0; 36
38; 0; 36
39; 0; 36
40; 0; 36
41; -3.34326e-24; 36
42; 0; 36
43; -3.37014e-24; 36
44; 0; 36
45; 0; 36
46; 0; 36
47; 0; 36
48; 0; 36
49; -3.3564e-24; 36
1; 0.229306; 49
2; 0.184694; 49
3; 0.139143; 49
4; 0.12547; 49
5; 0.106694; 49
6; 0.078041; 49
7; 0.0559185; 49
8; 0.0354695; 49
9; 0.0230613; 49
10; 0.0113878; 49
11; 0.00657143; 49
12; 0.00240816; 49
13; 0.00118367; 49
14; 0.000326531; 49
15; 0.000285714; 49
16; 4.08163e-05; 49
17; 0; 49
18; 0; 49
19; 0; 49
20; 0; 49
21; 0; 49
22; 0; 49
23; 0; 49
24; 0; 49
25; 0; 49
26; 0; 49
27; 0; 49
28; 0; 49
29; 0; 49
30; 0; 49
31; 0; 49
32; 0; 49
33; 0; 49
34; 0; 49
35; 0; 49
36; 0; 49
37; 0; 49
38; 0; 49
39; 0; 49
40; 0; 49
41; 0; 49
42; 0; 49
43; 0; 49
44; 0; 49
45; 0; 49
46; 0; 49
47; 0; 49
48; 0; 49
49; 0; 49
1; 0.190375; 64
2; 0.158406; 64
3; 0.125531; 64
4; 0.118063; 64
5; 0.100719; 64
6; 0.092625; 64
7; 0.0742188; 64
8; 0.052625; 64
9; 0.0379375; 64
10; 0.021; 64
11; 0.01425; 64
12; 0.00815625; 64
13; 0.0038125; 64
14; 0.0014375; 64
15; 0.00046875; 64
16; 0.00034375; 64
17; 3.125e-05; 64
18; 0; 64
19; 0; 64
20; 0; 64
21; 0; 64
22; 0; 64
23; 0; 64
24; 0; 64
25; 0; 64
26; 0; 64
27; 0; 64
28; 0; 64
29; 0; 64
30; 0; 64
31; 0; 64
32; 0; 64
33; 0; 64
34; 0; 64
35; 0; 64
36; 0; 64
37; 0; 64
38; 0; 64
39; 0; 64
40; 0; 64
41; 0; 64
42; 0; 64
43; 0; 64
44; 0; 64
45; 0; 64
46; 0; 64
47; 0; 64
48; 0; 64
49; 0; 64
1; 0.166889; 81
2; 0.148173; 81
3; 0.120568; 81
4; 0.114518; 81
5; 0.111531; 81
6; 0.0966419; 81
7; 0.0794814; 81
8; 0.0594568; 81
9; 0.0423457; 81
10; 0.0264444; 81
11; 0.0165679; 81
12; 0.00854322; 81
13; 0.00525926; 81
14; 0.00204938; 81
15; 0.00091358; 81
16; 0.000320988; 81
17; 0.00017284; 81
18; 9.87654e-05; 81
19; 2.46914e-05; 81
20; 0; 81
21; 0; 81
22; 0; 81
23; 0; 81
24; 0; 81
25; 0; 81
26; 0; 81
27; 0; 81
28; 0; 81
29; 0; 81
30; 0; 81
31; 0; 81
32; 0; 81
33; 0; 81
34; 0; 81
35; 0; 81
36; 0; 81
37; 0; 81
38; 0; 81
39; 0; 81
40; 0; 81
41; 0; 81
42; 0; 81
43; 0; 81
44; 0; 81
45; 0; 81
46; 0; 81
47; 0; 81
48; 0; 81
49; 0; 81
1; 0.147; 100
2; 0.12468; 100
3; 0.10806; 100
4; 0.11048; 100
5; 0.10616; 100
6; 0.09512; 100
7; 0.0844201; 100
8; 0.0694401; 100
9; 0.0564001; 100
10; 0.0381601; 100
11; 0.0255; 100
12; 0.01682; 100
13; 0.0092; 100
14; 0.00514; 100
15; 0.00216; 100
16; 0.00092; 100
17; 0.00026; 100
18; 6e-05; 100
19; 0; 100
20; 2e-05; 100
21; 0; 100
22; 0; 100
23; 0; 100
24; 0; 100
25; 0; 100
26; 0; 100
27; 0; 100
28; 0; 100
29; 0; 100
30; 0; 100
31; 0; 100
32; 0; 100
33; 0; 100
34; 0; 100
35; 0; 100
36; 0; 100
37; 0; 100
38; 0; 100
39; 0; 100
40; 0; 100
41; 0; 100
42; 0; 100
43; 0; 100
44; 0; 100
45; 0; 100
46; 0; 100
47; 0; 100
48; 0; 100
49; 0; 100
