### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence; param
0.025; 0.0510772; 4.74802e-05; 0
0.075; 0.0705015; 9.32945e-05; 0
0.125; 0.0596754; 0.0004798; 0
0.175; 0.0764109; 0.00200833; 0
0.225; 0.0660308; 0.0081083; 0
0.275; 0.0823886; 0.0219592; 0
0.325; 0.0839037; 0.0488805; 0
0.375; 0.0908266; 0.0926654; 0
0.425; 0.0885575; 0.152633; 0
0.475; 0.0903537; 0.175802; 0
0.525; 0.102284; 0.177271; 0
0.575; 0.0903894; 0.147896; 0
0.625; 0.0410873; 0.0855317; 0
0.675; 0.00644398; 0.0532978; 0
0.725; 7.49688e-05; 0.0218917; 0
0.775; 0; 0.00847231; 0
0.825; 0; 0.00220408; 0
0.875; 0; 0.000550604; 0
0.925; 0; 0.000202416; 0
0.975; 0; 3.33195e-06; 0
0.025; 0.0785938; 8.32986e-06; 0.25
0.075; 0.0642939; 0.000232403; 0.25
0.125; 0.0569699; 0.000469804; 0.25
0.175; 0.0589515; 0.00238068; 0.25
0.225; 0.0683477; 0.00678301; 0.25
0.275; 0.0678984; 0.019197; 0.25
0.325; 0.0858793; 0.0496144; 0.25
0.375; 0.100533; 0.0940823; 0.25
0.425; 0.0934156; 0.1387; 0.25
0.475; 0.0895197; 0.187546; 0.25
0.525; 0.0965977; 0.186856; 0.25
0.575; 0.0869417; 0.142429; 0.25
0.625; 0.046082; 0.0938299; 0.25
0.675; 0.00598167; 0.0468972; 0.25
0.725; 0; 0.0201225; 0.25
0.775; 0; 0.0080933; 0.25
0.825; 0; 0.00235735; 0.25
0.875; 0; 0.000362349; 0.25
0.925; 0; 3.58184e-05; 0.25
0.975; 0; 8.32986e-07; 0.25
0.025; 0.0675323; 1.66597e-06; 0.5
0.075; 0.0588544; 0.000121616; 0.5
0.125; 0.0682919; 0.00050479; 0.5
0.175; 0.0676852; 0.0031112; 0.5
0.225; 0.0606455; 0.00792338; 0.5
0.275; 0.062514; 0.0206856; 0.5
0.325; 0.0841876; 0.0458918; 0.5
0.375; 0.0964736; 0.0905972; 0.5
0.425; 0.0898504; 0.149377; 0.5
0.475; 0.110173; 0.17261; 0.5
0.525; 0.0874106; 0.189716; 0.5
0.575; 0.0747326; 0.140882; 0.5
0.625; 0.0580112; 0.100389; 0.5
0.675; 0.012584; 0.0482516; 0.5
0.725; 0.00105872; 0.0186414; 0.5
0.775; 0; 0.00863474; 0.5
0.825; 0; 0.00220325; 0.5
0.875; 0; 0.000324032; 0.5
0.925; 0; 9.16285e-05; 0.5
0.975; 0; 4.08163e-05; 0.5
0.025; 0.0804623; 4.41483e-05; 0.75
0.075; 0.0590225; 0.000172428; 0.75
0.125; 0.0677212; 0.000922116; 0.75
0.175; 0.0692878; 0.00266556; 0.75
0.225; 0.0664257; 0.00690546; 0.75
0.275; 0.0594387; 0.0220667; 0.75
0.325; 0.0702902; 0.0503299; 0.75
0.375; 0.0788308; 0.0896059; 0.75
0.425; 0.0978438; 0.144406; 0.75
0.475; 0.112616; 0.176335; 0.75
0.525; 0.0894679; 0.179386; 0.75
0.575; 0.0886651; 0.152443; 0.75
0.625; 0.0435628; 0.0888362; 0.75
0.675; 0.0158301; 0.052524; 0.75
0.725; 0.000539772; 0.0221733; 0.75
0.775; 0; 0.00832154; 0.75
0.825; 0; 0.00188921; 0.75
0.875; 0; 0.000868805; 0.75
0.925; 0; 5.9975e-05; 0.75
0.975; 0; 4.33153e-05; 0.75
0.025; 0.0675498; 3.91504e-05; 1
0.075; 0.0628444; 4.83132e-05; 1
0.125; 0.0670124; 0.000403998; 1
0.175; 0.0699835; 0.00237984; 1
0.225; 0.0730298; 0.00692629; 1
0.275; 0.062484; 0.0213544; 1
0.325; 0.0888299; 0.0453703; 1
0.375; 0.0795877; 0.0966496; 1
0.425; 0.0865267; 0.144718; 1
0.475; 0.0946359; 0.176252; 1
0.525; 0.108661; 0.185351; 1
0.575; 0.0910368; 0.140315; 1
0.625; 0.0426191; 0.0954375; 1
0.675; 0.00520365; 0.0528555; 1
0.725; 0; 0.0205581; 1
0.775; 0; 0.00826822; 1
0.825; 0; 0.00255394; 1
0.875; 0; 0.000426489; 1
0.925; 0; 9.07955e-05; 1
0.975; 0; 0; 1
