### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

time; nVar; meanDU; param
0; 49.846; 31.3467; 0
10; 49.852; 23.2704; 0
20; 49.664; 15.9298; 0
30; 45.092; 9.36935; 0
40; 36.442; 5.42649; 0
50; 28.576; 4.25404; 0
60; 24.53; 3.97273; 0
70; 23.4; 3.87673; 0
80; 23.06; 3.83486; 0
90; 22.91; 3.81506; 0
100; 22.83; 3.80682; 0
110; 22.796; 3.80196; 0
120; 22.788; 3.79763; 0
130; 22.776; 3.79412; 0
140; 22.782; 3.79196; 0
150; 22.79; 3.7911; 0
160; 22.788; 3.79049; 0
170; 22.786; 3.78984; 0
180; 22.798; 3.78931; 0
190; 22.8; 3.78853; 0
200; 22.788; 3.78751; 0
210; 22.786; 3.78674; 0
220; 22.796; 3.7858; 0
230; 22.814; 3.78482; 0
240; 22.81; 3.78449; 0
250; 22.814; 3.78412; 0
260; 22.816; 3.78339; 0
270; 22.824; 3.78233; 0
280; 22.834; 3.78139; 0
290; 22.834; 3.78053; 0
300; 22.842; 3.78012; 0
310; 22.842; 3.7798; 0
320; 22.844; 3.77963; 0
330; 22.854; 3.77918; 0
340; 22.86; 3.77902; 0
350; 22.856; 3.77865; 0
360; 22.858; 3.77825; 0
370; 22.862; 3.77804; 0
380; 22.866; 3.77743; 0
390; 22.87; 3.77694; 0
400; 22.864; 3.77673; 0
410; 22.876; 3.77645; 0
420; 22.884; 3.77563; 0
430; 22.876; 3.77518; 0
440; 22.886; 3.77506; 0
450; 22.894; 3.77437; 0
460; 22.886; 3.77408; 0
470; 22.892; 3.77351; 0
480; 22.898; 3.77273; 0
490; 22.898; 3.77188; 0
500; 22.9; 3.77078; 0
510; 22.906; 3.77008; 0
520; 22.9; 3.76939; 0
530; 22.904; 3.76853; 0
540; 22.906; 3.76755; 0
550; 22.904; 3.76718; 0
560; 22.906; 3.76645; 0
570; 22.912; 3.76625; 0
580; 22.912; 3.76572; 0
590; 22.914; 3.76486; 0
600; 22.918; 3.76433; 0
610; 22.918; 3.76404; 0
620; 22.924; 3.76376; 0
630; 22.92; 3.76306; 0
640; 22.926; 3.76257; 0
650; 22.936; 3.76241; 0
660; 22.934; 3.76208; 0
670; 22.93; 3.76151; 0
680; 22.938; 3.76131; 0
690; 22.944; 3.76074; 0
700; 22.944; 3.76025; 0
710; 22.938; 3.76004; 0
720; 22.944; 3.75869; 0
730; 22.94; 3.75445; 0
740; 22.942; 3.7529; 0
750; 22.924; 3.75188; 0
760; 22.922; 3.75065; 0
770; 22.922; 3.74869; 0
780; 22.912; 3.74776; 0
790; 22.916; 3.74698; 0
800; 22.904; 3.74592; 0
810; 22.902; 3.74539; 0
820; 22.912; 3.74461; 0
830; 22.91; 3.7438; 0
840; 22.918; 3.74343; 0
850; 22.908; 3.74233; 0
860; 22.916; 3.74163; 0
870; 22.914; 3.74069; 0
880; 22.916; 3.73996; 0
890; 22.912; 3.73914; 0
900; 22.916; 3.73861; 0
