### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; varDist; param
1; 0.209143; 0
2; 0.181592; 0
3; 0.142653; 0
4; 0.130245; 0
5; 0.108286; 0
6; 0.0851839; 0
7; 0.0609389; 0
8; 0.0395511; 0
9; 0.0225715; 0
10; 0.0108571; 0
11; 0.00534694; 0
12; 0.00216327; 0
13; 0.00102041; 0
14; 0.000285714; 0
15; 0.000122449; 0
16; 4.08163e-05; 0
17; 0; 0
18; 0; 0
19; 0; 0
20; 0; 0
21; 0; 0
22; 0; 0
23; 0; 0
24; 0; 0
25; 0; 0
26; 0; 0
27; 0; 0
28; 0; 0
29; 0; 0
30; 0; 0
31; 0; 0
32; 0; 0
33; 0; 0
34; 0; 0
35; 0; 0
36; 0; 0
37; 0; 0
38; 0; 0
39; 0; 0
40; 0; 0
41; 0; 0
42; 0; 0
43; 0; 0
44; 0; 0
45; 0; 0
46; 0; 0
47; 0; 0
48; 0; 0
49; 0; 0
1; 0.212858; 0.25
2; 0.177796; 0.25
3; 0.140816; 0.25
4; 0.128612; 0.25
5; 0.110163; 0.25
6; 0.0848573; 0.25
7; 0.0600409; 0.25
8; 0.0397552; 0.25
9; 0.0237959; 0.25
10; 0.0122449; 0.25
11; 0.00493877; 0.25
12; 0.0024898; 0.25
13; 0.00106122; 0.25
14; 0.000285714; 0.25
15; 0.000244898; 0.25
16; 4.08163e-05; 0.25
17; 0; 0.25
18; 0; 0.25
19; 0; 0.25
20; 0; 0.25
21; 0; 0.25
22; 0; 0.25
23; 0; 0.25
24; 0; 0.25
25; 0; 0.25
26; 0; 0.25
27; 0; 0.25
28; 0; 0.25
29; 0; 0.25
30; 0; 0.25
31; 0; 0.25
32; 0; 0.25
33; 0; 0.25
34; 0; 0.25
35; 0; 0.25
36; 0; 0.25
37; 0; 0.25
38; 0; 0.25
39; 0; 0.25
40; 0; 0.25
41; 0; 0.25
42; 0; 0.25
43; 0; 0.25
44; 0; 0.25
45; 0; 0.25
46; 0; 0.25
47; 0; 0.25
48; 0; 0.25
49; 0; 0.25
1; 0.211837; 0.5
2; 0.175715; 0.5
3; 0.137755; 0.5
4; 0.126286; 0.5
5; 0.109633; 0.5
6; 0.0857145; 0.5
7; 0.0624491; 0.5
8; 0.0425715; 0.5
9; 0.0237143; 0.5
10; 0.0140408; 0.5
11; 0.0062449; 0.5
12; 0.00281633; 0.5
13; 0.000857143; 0.5
14; 0.000326531; 0.5
15; 0; 0.5
16; 0; 0.5
17; 4.08163e-05; 0.5
18; 0; 0.5
19; 0; 0.5
20; 0; 0.5
21; 0; 0.5
22; 0; 0.5
23; 0; 0.5
24; 0; 0.5
25; 0; 0.5
26; 0; 0.5
27; 0; 0.5
28; 0; 0.5
29; 0; 0.5
30; 0; 0.5
31; 0; 0.5
32; 0; 0.5
33; 0; 0.5
34; 0; 0.5
35; 0; 0.5
36; 0; 0.5
37; 0; 0.5
38; 0; 0.5
39; 0; 0.5
40; 0; 0.5
41; 0; 0.5
42; 0; 0.5
43; 0; 0.5
44; 0; 0.5
45; 0; 0.5
46; 0; 0.5
47; 0; 0.5
48; 0; 0.5
49; 0; 0.5
1; 0.208082; 0.75
2; 0.181061; 0.75
3; 0.139959; 0.75
4; 0.131919; 0.75
5; 0.109674; 0.75
6; 0.0854287; 0.75
7; 0.0601634; 0.75
8; 0.0410205; 0.75
9; 0.0216735; 0.75
10; 0.0125306; 0.75
11; 0.00489796; 0.75
12; 0.00228571; 0.75
13; 0.000897959; 0.75
14; 0.000408163; 0.75
15; 0; 0.75
16; 0; 0.75
17; 0; 0.75
18; 0; 0.75
19; 0; 0.75
20; 0; 0.75
21; 0; 0.75
22; 0; 0.75
23; 0; 0.75
24; 0; 0.75
25; 0; 0.75
26; 0; 0.75
27; 0; 0.75
28; 0; 0.75
29; 0; 0.75
30; 0; 0.75
31; 0; 0.75
32; 0; 0.75
33; 0; 0.75
34; 0; 0.75
35; 0; 0.75
36; 0; 0.75
37; 0; 0.75
38; 0; 0.75
39; 0; 0.75
40; 0; 0.75
41; 0; 0.75
42; 0; 0.75
43; 0; 0.75
44; 0; 0.75
45; 0; 0.75
46; 0; 0.75
47; 0; 0.75
48; 0; 0.75
49; 0; 0.75
1; 0.220613; 1
2; 0.187674; 1
3; 0.145551; 1
4; 0.123551; 1
5; 0.103837; 1
6; 0.0803675; 1
7; 0.0570206; 1
8; 0.0373878; 1
9; 0.0213878; 1
10; 0.0117959; 1
11; 0.00616326; 1
12; 0.00289796; 1
13; 0.00106122; 1
14; 0.000408163; 1
15; 0.000204082; 1
16; 0; 1
17; 4.08163e-05; 1
18; 4.08163e-05; 1
19; 0; 1
20; 0; 1
21; 0; 1
22; 0; 1
23; 0; 1
24; 0; 1
25; 0; 1
26; 0; 1
27; 0; 1
28; 0; 1
29; 0; 1
30; 0; 1
31; 0; 1
32; 0; 1
33; 0; 1
34; 0; 1
35; 0; 1
36; 0; 1
37; 0; 1
38; 0; 1
39; 0; 1
40; 0; 1
41; 0; 1
42; 0; 1
43; 0; 1
44; 0; 1
45; 0; 1
46; 0; 1
47; 0; 1
48; 0; 1
49; 0; 1
