### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

param; nVar; meanDU
0; 24.666; 3.04555
0.05; 24.324; 3.09951
0.1; 24.792; 3.2289
0.15; 25.086; 3.35086
0.2; 25.376; 3.5551
0.25; 24.548; 3.50653
0.3; 24.692; 3.58983
0.35; 24.714; 3.65408
0.4; 24.388; 3.69008
0.45; 23.548; 3.71367
0.5; 23.226; 3.81065
0.55; 22.116; 3.88147
0.6; 21.748; 3.97327
0.65; 19.582; 3.79694
0.7; 19.772; 4.20486
0.75; 18.374; 4.33792
0.8; 17.808; 4.84106
0.85; 16.434; 5.39482
0.9; 15.622; 6.31392
0.95; 15.326; 7.62975
1; 13.972; 7.73445
