### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

param; nVar; meanDU
0.05; 22.584; 3.75735
0.1; 23.774; 3.89049
0.15; 23.306; 3.87588
0.2; 22.826; 3.80629
0.25; 22.282; 3.57718
0.3; 22.634; 3.68049
0.35; 23.132; 3.83592
0.4; 22.788; 3.74828
0.45; 22.9; 3.83339
0.5; 22.726; 3.72918
0.6; 22.626; 3.76657
0.7; 23.164; 3.81163
0.8; 23.02; 3.79016
0.9; 22.824; 3.74784
