### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 1 ###

value; fitness; appearence; param
0.025; 0; 0; 0
0.075; 0; 0; 0
0.125; 0; 0; 0
0.175; 0; 0.000416493; 0
0.225; 0; 0.000832986; 0
0.275; 0.0154102; 0; 0
0.325; 0.205747; 0.0903793; 0
0.375; 0.415657; 0.273634; 0
0.425; 0.363179; 0.0428988; 0
0.475; 0; 0.166181; 0
0.525; 0; 0.211161; 0
0.575; 0; 0.0612246; 0
0.625; 0; 0.073303; 0
0.675; 0; 0.0395669; 0
0.725; 0; 0; 0
0.775; 0; 0.0204082; 0
0.825; 0; 0.0199917; 0
0.875; 0; 0; 0
0.925; 0; 0; 0
0.975; 0; 0; 0
0.025; 0; 0; 1
0.075; 0; 0; 1
0.125; 0; 0; 1
0.175; 0; 0; 1
0.225; 0; 0; 1
0.275; 0; 0; 1
0.325; 0.0524782; 0.0345689; 1
0.375; 0.0387339; 0; 1
0.425; 0.908807; 0.577259; 1
0.475; 0; 0; 1
0.525; 0; 0.00416493; 1
0.575; 0; 0.384004; 1
0.625; 0; 0; 1
0.675; 0; 0; 1
0.725; 0; 0; 1
0.775; 0; 0; 1
0.825; 0; 0; 1
0.875; 0; 0; 1
0.925; 0; 0; 1
0.975; 0; 0; 1
0.025; 0; 0; 2
0.075; 0; 0; 2
0.125; 0; 0; 2
0.175; 0; 0; 2
0.225; 0; 0; 2
0.275; 0; 0.0062474; 2
0.325; 0; 0.027072; 2
0.375; 0; 0.22199; 2
0.425; 0.00124948; 0.00874635; 2
0.475; 0.172428; 0.389001; 2
0.525; 0.543105; 0.0403999; 2
0.575; 0.283214; 0.0224906; 2
0.625; 0; 0; 2
0.675; 0; 0.284047; 2
0.725; 0; 0; 2
0.775; 0; 0; 2
0.825; 0; 0; 2
0.875; 0; 0; 2
0.925; 0; 0; 2
0.975; 0; 0; 2
0.025; 0; 0; 3
0.075; 0; 0; 3
0.125; 0; 0; 3
0.175; 0; 0; 3
0.225; 0; 0; 3
0.275; 0; 0.00333194; 3
0.325; 0.0391504; 0.161183; 3
0.375; 0.82467; 0.00208247; 3
0.425; 0.136193; 0.0199917; 3
0.475; 0; 0.396915; 3
0.525; 0; 0.178675; 3
0.575; 0; 0.0941277; 3
0.625; 0; 0.102874; 3
0.675; 0; 0.0370679; 3
0.725; 0; 0.00166597; 3
0.775; 0; 0.00208247; 3
0.825; 0; 0; 3
0.875; 0; 0; 3
0.925; 0; 0; 3
0.975; 0; 0; 3
0.025; 0; 0; 4
0.075; 0; 0; 4
0.125; 0; 0; 4
0.175; 0; 0; 4
0.225; 0; 0; 4
0.275; 0; 0; 4
0.325; 0.00208247; 0.0566432; 4
0.375; 0.176176; 0.149105; 4
0.425; 0.802179; 0.113286; 4
0.475; 0; 0.000832986; 4
0.525; 0.0195752; 0.454806; 4
0.575; 0; 0; 4
0.625; 0; 0.135361; 4
0.675; 0; 0.00208247; 4
0.725; 0; 0.0670555; 4
0.775; 0; 0.000416493; 4
0.825; 0; 0.000416493; 4
0.875; 0; 0.0199917; 4
0.925; 0; 0; 4
0.975; 0; 0; 4
0.025; 0; 0; 5
0.075; 0; 0; 5
0.125; 0; 0; 5
0.175; 0; 0; 5
0.225; 0; 0.00124948; 5
0.275; 0.372758; 0.0483133; 5
0.325; 0.559349; 0.0832988; 5
0.375; 0.0678885; 0.0120783; 5
0.425; 0; 0.244897; 5
0.475; 0; 0.0670555; 5
0.525; 0; 0.382754; 5
0.575; 0; 0.122033; 5
0.625; 0; 0.00291545; 5
0.675; 0; 0.000832986; 5
0.725; 0; 0.0341524; 5
0.775; 0; 0.000416493; 5
0.825; 0; 0; 5
0.875; 0; 0; 5
0.925; 0; 0; 5
0.975; 0; 0; 5
0.025; 0; 0; 6
0.075; 0.314867; 0; 6
0.125; 0.685137; 0; 6
0.175; 0; 0.00124948; 6
0.225; 0; 0.00166597; 6
0.275; 0; 0; 6
0.325; 0; 0.114536; 6
0.375; 0; 0.0712205; 6
0.425; 0; 0.210745; 6
0.475; 0; 0.201582; 6
0.525; 0; 0.262389; 6
0.575; 0; 0.0624741; 6
0.625; 0; 0.0220741; 6
0.675; 0; 0; 6
0.725; 0; 0.0520617; 6
0.775; 0; 0; 6
0.825; 0; 0; 6
0.875; 0; 0; 6
0.925; 0; 0; 6
0.975; 0; 0; 6
0.025; 0; 0; 7
0.075; 0; 0; 7
0.125; 0; 0; 7
0.175; 0; 0.000416493; 7
0.225; 0; 0.00291545; 7
0.275; 0.00166597; 0.00208247; 7
0.325; 0.0170762; 0.027905; 7
0.375; 0.147022; 0; 7
0.425; 0.241981; 0.371092; 7
0.475; 0.592254; 0.226571; 7
0.525; 0; 0.102874; 7
0.575; 0; 0.167014; 7
0.625; 0; 0.0187422; 7
0.675; 0; 0.0603916; 7
0.725; 0; 0; 7
0.775; 0; 0; 7
0.825; 0; 0.0199917; 7
0.875; 0; 0; 7
0.925; 0; 0; 7
0.975; 0; 0; 7
0.025; 0; 0; 8
0.075; 0.119534; 0; 8
0.125; 0.861741; 0; 8
0.175; 0.0187422; 0.0187422; 8
0.225; 0; 0; 8
0.275; 0; 0.0212411; 8
0.325; 0; 0.0416494; 8
0.375; 0; 0.0853813; 8
0.425; 0; 0.12828; 8
0.475; 0; 0.271552; 8
0.525; 0; 0.231569; 8
0.575; 0; 0.00874635; 8
0.625; 0; 0.148688; 8
0.675; 0; 0.00291545; 8
0.725; 0; 0.0199917; 8
0.775; 0; 0.000832986; 8
0.825; 0; 0.0195752; 8
0.875; 0; 0.000832986; 8
0.925; 0; 0; 8
0.975; 0; 0; 8
