### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 1 ###

time; nVar; meanDU; param
0; 50; 31.6122; 0
10; 50; 23.2449; 0
20; 50; 15.4694; 0
30; 48; 8.87755; 0
40; 40; 5.69388; 0
50; 30; 4.26531; 0
60; 26; 3.85714; 0
70; 23; 3.77551; 0
80; 23; 3.7551; 0
90; 23; 3.73469; 0
100; 23; 3.73469; 0
110; 23; 3.73469; 0
120; 23; 3.73469; 0
130; 23; 3.73469; 0
140; 23; 3.73469; 0
150; 23; 3.73469; 0
160; 23; 3.73469; 0
170; 23; 3.73469; 0
180; 23; 3.73469; 0
190; 23; 3.73469; 0
200; 24; 3.73469; 0
210; 23; 3.73469; 0
220; 23; 3.73469; 0
230; 23; 3.73469; 0
240; 23; 3.73469; 0
250; 23; 3.73469; 0
260; 23; 3.73469; 0
270; 23; 3.73469; 0
280; 23; 3.73469; 0
290; 23; 3.73469; 0
300; 23; 3.73469; 0
310; 23; 3.73469; 0
320; 23; 3.73469; 0
330; 23; 3.73469; 0
340; 23; 3.73469; 0
350; 23; 3.73469; 0
360; 23; 3.73469; 0
370; 24; 3.73469; 0
380; 24; 3.73469; 0
390; 24; 3.73469; 0
400; 24; 3.73469; 0
410; 24; 3.73469; 0
420; 24; 3.73469; 0
430; 24; 3.73469; 0
440; 24; 3.73469; 0
450; 24; 3.73469; 0
460; 24; 3.73469; 0
470; 24; 3.73469; 0
480; 24; 3.73469; 0
490; 24; 3.71429; 0
500; 24; 3.71429; 0
510; 24; 3.71429; 0
520; 24; 3.71429; 0
530; 24; 3.71429; 0
540; 24; 3.71429; 0
550; 24; 3.71429; 0
560; 24; 3.71429; 0
570; 24; 3.71429; 0
580; 24; 3.71429; 0
590; 24; 3.71429; 0
600; 24; 3.71429; 0
610; 25; 3.71429; 0
620; 24; 3.71429; 0
630; 24; 3.71429; 0
640; 24; 3.71429; 0
650; 24; 3.71429; 0
660; 24; 3.71429; 0
670; 24; 3.71429; 0
680; 24; 3.71429; 0
690; 24; 3.71429; 0
700; 24; 3.71429; 0
710; 24; 3.71429; 0
720; 24; 3.71429; 0
730; 24; 3.71429; 0
740; 24; 3.71429; 0
750; 24; 3.71429; 0
760; 24; 3.71429; 0
770; 24; 3.71429; 0
780; 24; 3.71429; 0
790; 24; 3.71429; 0
800; 24; 3.71429; 0
810; 24; 3.71429; 0
820; 24; 3.71429; 0
830; 24; 3.71429; 0
840; 24; 3.71429; 0
850; 24; 3.71429; 0
860; 24; 3.67347; 0
870; 24; 3.67347; 0
880; 24; 3.67347; 0
890; 24; 3.67347; 0
900; 24; 3.67347; 0
910; 24; 3.67347; 0
920; 24; 3.67347; 0
930; 24; 3.67347; 0
940; 24; 3.67347; 0
950; 24; 3.67347; 0
960; 24; 3.67347; 0
970; 24; 3.65306; 0
980; 24; 3.57143; 0
990; 24; 3.57143; 0
0; 49; 31.1429; 1
10; 49; 23.4694; 1
20; 49; 16.102; 1
30; 46; 8.89796; 1
40; 35; 3; 1
50; 19; 1.81633; 1
60; 8; 1.71429; 1
70; 8; 1.67347; 1
80; 7; 1.67347; 1
90; 7; 1.63265; 1
100; 7; 1.63265; 1
110; 7; 1.63265; 1
120; 7; 1.63265; 1
130; 7; 1.63265; 1
140; 7; 1.63265; 1
150; 7; 1.63265; 1
160; 7; 1.63265; 1
170; 7; 1.63265; 1
180; 7; 1.63265; 1
190; 7; 1.63265; 1
200; 7; 1.63265; 1
210; 7; 1.63265; 1
220; 7; 1.63265; 1
230; 7; 1.63265; 1
240; 7; 1.63265; 1
250; 7; 1.63265; 1
260; 7; 1.63265; 1
270; 7; 1.63265; 1
280; 7; 1.63265; 1
290; 7; 1.63265; 1
300; 7; 1.63265; 1
310; 7; 1.63265; 1
320; 7; 1.63265; 1
330; 7; 1.63265; 1
340; 7; 1.63265; 1
350; 7; 1.63265; 1
360; 7; 1.63265; 1
370; 7; 1.63265; 1
380; 7; 1.63265; 1
390; 7; 1.63265; 1
400; 7; 1.63265; 1
410; 7; 1.63265; 1
420; 7; 1.63265; 1
430; 7; 1.63265; 1
440; 7; 1.63265; 1
450; 7; 1.63265; 1
460; 7; 1.63265; 1
470; 7; 1.63265; 1
480; 7; 1.63265; 1
490; 7; 1.63265; 1
500; 7; 1.63265; 1
510; 7; 1.63265; 1
520; 7; 1.63265; 1
530; 7; 1.63265; 1
540; 7; 1.63265; 1
550; 7; 1.63265; 1
560; 7; 1.63265; 1
570; 7; 1.63265; 1
580; 7; 1.57143; 1
590; 7; 1.57143; 1
600; 7; 1.57143; 1
610; 7; 1.57143; 1
620; 7; 1.57143; 1
630; 7; 1.57143; 1
640; 7; 1.57143; 1
650; 7; 1.57143; 1
660; 7; 1.57143; 1
670; 7; 1.57143; 1
680; 7; 1.57143; 1
690; 7; 1.57143; 1
700; 7; 1.57143; 1
710; 7; 1.57143; 1
720; 7; 1.57143; 1
730; 7; 1.57143; 1
740; 7; 1.57143; 1
750; 7; 1.57143; 1
760; 7; 1.57143; 1
770; 7; 1.57143; 1
780; 7; 1.57143; 1
790; 7; 1.57143; 1
800; 7; 1.57143; 1
810; 7; 1.57143; 1
820; 7; 1.57143; 1
830; 7; 1.57143; 1
840; 7; 1.57143; 1
850; 7; 1.57143; 1
860; 7; 1.57143; 1
870; 7; 1.57143; 1
880; 7; 1.57143; 1
890; 7; 1.57143; 1
900; 7; 1.57143; 1
910; 7; 1.57143; 1
920; 7; 1.57143; 1
930; 7; 1.57143; 1
940; 7; 1.57143; 1
950; 7; 1.57143; 1
960; 7; 1.57143; 1
970; 7; 1.57143; 1
980; 7; 1.57143; 1
990; 7; 1.57143; 1
0; 49; 30.898; 2
10; 49; 23.2041; 2
20; 48; 15.7347; 2
30; 41; 9.32653; 2
40; 29; 6.44898; 2
50; 21; 5.77551; 2
60; 21; 5.59184; 2
70; 21; 5.5102; 2
80; 21; 5.46939; 2
90; 21; 5.44898; 2
100; 21; 5.44898; 2
110; 21; 5.44898; 2
120; 21; 5.44898; 2
130; 21; 5.44898; 2
140; 21; 5.44898; 2
150; 21; 5.44898; 2
160; 21; 5.44898; 2
170; 21; 5.44898; 2
180; 21; 5.44898; 2
190; 21; 5.44898; 2
200; 21; 5.44898; 2
210; 21; 5.44898; 2
220; 21; 5.44898; 2
230; 21; 5.44898; 2
240; 21; 5.44898; 2
250; 21; 5.44898; 2
260; 21; 5.44898; 2
270; 21; 5.44898; 2
280; 21; 5.44898; 2
290; 21; 5.44898; 2
300; 21; 5.44898; 2
310; 21; 5.44898; 2
320; 21; 5.44898; 2
330; 21; 5.44898; 2
340; 21; 5.44898; 2
350; 21; 5.44898; 2
360; 21; 5.44898; 2
370; 21; 5.44898; 2
380; 21; 5.44898; 2
390; 21; 5.44898; 2
400; 21; 5.44898; 2
410; 21; 5.44898; 2
420; 21; 5.44898; 2
430; 21; 5.44898; 2
440; 21; 5.44898; 2
450; 21; 5.44898; 2
460; 21; 5.44898; 2
470; 21; 5.44898; 2
480; 21; 5.44898; 2
490; 21; 5.44898; 2
500; 21; 5.44898; 2
510; 21; 5.44898; 2
520; 21; 5.44898; 2
530; 21; 5.44898; 2
540; 21; 5.44898; 2
550; 21; 5.44898; 2
560; 21; 5.44898; 2
570; 21; 5.44898; 2
580; 21; 5.44898; 2
590; 21; 5.44898; 2
600; 21; 5.44898; 2
610; 21; 5.44898; 2
620; 21; 5.44898; 2
630; 21; 5.44898; 2
640; 21; 5.44898; 2
650; 21; 5.44898; 2
660; 21; 5.44898; 2
670; 21; 5.44898; 2
680; 21; 5.44898; 2
690; 21; 5.44898; 2
700; 21; 5.44898; 2
710; 21; 5.44898; 2
720; 21; 5.44898; 2
730; 21; 5.44898; 2
740; 21; 5.44898; 2
750; 21; 5.44898; 2
760; 21; 5.44898; 2
770; 21; 5.44898; 2
780; 21; 5.44898; 2
790; 21; 5.44898; 2
800; 21; 5.44898; 2
810; 21; 5.44898; 2
820; 21; 5.44898; 2
830; 21; 5.44898; 2
840; 21; 5.44898; 2
850; 21; 5.44898; 2
860; 21; 5.44898; 2
870; 21; 5.44898; 2
880; 21; 5.44898; 2
890; 21; 5.44898; 2
900; 21; 5.44898; 2
910; 21; 5.44898; 2
920; 21; 5.44898; 2
930; 21; 5.44898; 2
940; 21; 5.44898; 2
950; 21; 5.44898; 2
960; 21; 5.44898; 2
970; 21; 5.44898; 2
980; 21; 5.44898; 2
990; 21; 5.44898; 2
0; 50; 31.3878; 3
10; 50; 23.2449; 3
20; 50; 15.5714; 3
30; 44; 9; 3
40; 34; 6.40816; 3
50; 28; 5.77551; 3
60; 24; 5.5102; 3
70; 24; 5.38775; 3
80; 24; 5.38775; 3
90; 24; 5.30612; 3
100; 24; 5.30612; 3
110; 24; 5.30612; 3
120; 24; 5.26531; 3
130; 24; 5.26531; 3
140; 24; 5.26531; 3
150; 24; 5.26531; 3
160; 24; 5.26531; 3
170; 24; 5.26531; 3
180; 24; 5.26531; 3
190; 24; 5.26531; 3
200; 24; 5.26531; 3
210; 24; 5.26531; 3
220; 24; 5.26531; 3
230; 24; 5.26531; 3
240; 24; 5.26531; 3
250; 24; 5.26531; 3
260; 24; 5.26531; 3
270; 24; 5.26531; 3
280; 24; 5.26531; 3
290; 24; 5.26531; 3
300; 24; 5.26531; 3
310; 24; 5.26531; 3
320; 24; 5.26531; 3
330; 24; 5.26531; 3
340; 24; 5.26531; 3
350; 24; 5.26531; 3
360; 24; 5.26531; 3
370; 24; 5.26531; 3
380; 24; 5.2449; 3
390; 24; 5.2449; 3
400; 24; 5.2449; 3
410; 24; 5.2449; 3
420; 24; 5.2449; 3
430; 24; 5.2449; 3
