### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; fitness; appearence
0.025; 0.0708344; 4.16493e-05
0.075; 0.0604937; 8.74636e-05
0.125; 0.0619119; 0.000696377
0.175; 0.0720517; 0.00260808
0.225; 0.080879; 0.00891128
0.275; 0.0689887; 0.0221491
0.325; 0.072609; 0.0430479
0.375; 0.0733096; 0.0958174
0.425; 0.0811789; 0.141721
0.475; 0.0965459; 0.17849
0.525; 0.10528; 0.192711
0.575; 0.0854524; 0.152594
0.625; 0.0548675; 0.0840465
0.675; 0.0155985; 0.0492986
0.725; 3.33195e-06; 0.0179984
0.775; 0; 0.00706789
0.825; 0; 0.00218576
0.875; 0; 0.000406497
0.925; 0; 7.74677e-05
0.975; 0; 4.16493e-05
