### PARAMETERS VALUE ###
### LATTICESIZE = 49, NVARIETY = 50, NRESOURCE = 3, NRESOURCEDIST = 1, NETWORKTYPE = 1, PROBABILITYCONNECTION = 0.15, KWT = 4, BETAWT = 0.2, MSF = 2, OUTSIDETRADELIMIT = 0.01, INSIDETRADELIMIT = 0.05, ALPHA = 0.5, NDOMESTICUNITY = 49, PROBABILITYNEWVAR = 0.0001, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 500 ###

value; varDist
1; 0.20947
2; 0.182
3; 0.131796
4; 0.123347
5; 0.111592
6; 0.0883268
7; 0.0636328
8; 0.0407756
9; 0.024898
10; 0.0133877
11; 0.00710204
12; 0.00228571
13; 0.000897959
14; 0.000285714
15; 0.000163265
16; 4.08163e-05
17; 0
18; 0
19; 0
20; 0
21; 0
22; 0
23; 0
24; 0
25; 0
26; 0
27; 0
28; 0
29; 0
30; 0
31; 0
32; 0
33; 0
34; 0
35; 0
36; 0
37; 0
38; 0
39; 0
40; 0
41; 0
42; 0
43; 0
44; 0
45; 0
46; 0
47; 0
48; 0
49; 0
