### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 2, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.001, NRESOURCEDIST = 49, NPROPRIETY = 49, MAXTIME = 1000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie
0; 2
10; 15
20; 18
30; 26
40; 34
50; 35
60; 41
70; 46
80; 52
90; 55
100; 57
110; 63
120; 68
130; 70
140; 72
150; 75
160; 77
170; 81
180; 82
190; 84
200; 81
210; 82
220; 86
230; 83
240; 81
250; 81
260; 84
270; 87
280; 82
290; 83
300; 82
310; 86
320; 84
330; 86
340; 86
350; 80
360; 84
370; 85
380; 82
390; 83
400; 82
410; 83
420; 86
430; 87
440; 91
450; 92
460; 92
470; 87
480; 87
490; 86
500; 82
510; 85
520; 83
530; 82
540; 84
550; 85
560; 85
570; 88
580; 89
590; 82
600; 81
610; 82
620; 80
630; 80
640; 78
650; 80
660; 76
670; 78
680; 83
690; 80
700; 80
710; 80
720; 82
730; 85
740; 81
750; 79
760; 77
770; 73
780; 82
790; 81
800; 82
810; 80
820; 79
830; 78
840; 73
850; 75
860; 78
870; 82
880; 76
890; 78
900; 76
910; 78
920; 69
930; 73
940; 80
950; 77
960; 73
970; 79
980; 77
990; 77
