### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0, NRESOURCEDIST = 49, MAXTIME = 100000, TIMEINTERVAL = 100, NRUN = 10 ###

time; nSpecie
0; 100
100; 55
200; 48
300; 44
400; 42
500; 40
600; 39
700; 38
800; 38
900; 37
1000; 36
1100; 36
1200; 35
1300; 35
1400; 35
1500; 34
1600; 34
1700; 34
1800; 33
1900; 33
2000; 33
2100; 33
2200; 33
2300; 33
2400; 33
2500; 33
2600; 33
2700; 32
2800; 32
2900; 32
3000; 32
3100; 32
3200; 32
3300; 32
3400; 32
3500; 32
3600; 32
3700; 31
3800; 31
3900; 31
4000; 31
4100; 31
4200; 31
4300; 31
4400; 31
4500; 31
4600; 31
4700; 31
4800; 31
4900; 31
5000; 31
5100; 31
5200; 31
5300; 31
5400; 31
5500; 31
5600; 30
5700; 30
5800; 30
5900; 30
6000; 30
6100; 30
6200; 30
6300; 30
6400; 30
6500; 30
6600; 30
6700; 30
6800; 30
6900; 30
7000; 30
7100; 30
7200; 30
7300; 30
7400; 30
7500; 30
7600; 30
7700; 30
7800; 30
7900; 30
8000; 30
8100; 30
8200; 30
8300; 29
8400; 29
8500; 29
8600; 29
8700; 29
8800; 29
8900; 29
9000; 29
9100; 29
9200; 29
9300; 29
9400; 29
9500; 29
9600; 29
9700; 29
9800; 29
9900; 29
10000; 29
10100; 29
10200; 29
10300; 29
10400; 29
10500; 29
10600; 29
10700; 29
10800; 28
10900; 28
11000; 28
11100; 28
11200; 28
11300; 28
11400; 28
11500; 28
11600; 28
11700; 28
11800; 28
11900; 28
12000; 28
12100; 28
12200; 28
12300; 28
12400; 28
12500; 28
12600; 28
12700; 28
12800; 28
12900; 28
13000; 28
13100; 28
13200; 28
13300; 28
13400; 28
13500; 28
13600; 28
13700; 28
13800; 28
13900; 28
14000; 28
14100; 28
14200; 27
14300; 27
14400; 27
14500; 27
14600; 27
14700; 27
14800; 27
14900; 27
15000; 27
15100; 27
15200; 27
15300; 27
15400; 27
15500; 27
15600; 27
15700; 27
15800; 27
15900; 27
16000; 27
16100; 27
16200; 27
16300; 27
16400; 27
16500; 27
16600; 27
16700; 27
16800; 27
16900; 27
17000; 27
17100; 27
17200; 27
17300; 27
17400; 27
17500; 27
17600; 27
17700; 27
17800; 27
17900; 27
18000; 27
18100; 27
18200; 27
18300; 27
18400; 27
18500; 27
18600; 27
18700; 27
18800; 27
18900; 27
19000; 27
19100; 27
19200; 27
19300; 27
19400; 27
19500; 27
19600; 27
19700; 27
19800; 27
19900; 27
20000; 27
20100; 27
20200; 27
20300; 27
20400; 27
20500; 27
20600; 27
20700; 27
20800; 27
20900; 27
21000; 27
21100; 27
21200; 27
21300; 27
21400; 27
21500; 27
21600; 27
21700; 27
21800; 27
21900; 27
22000; 27
22100; 27
22200; 27
22300; 27
22400; 27
22500; 27
22600; 27
22700; 27
22800; 27
22900; 27
23000; 27
23100; 27
23200; 27
23300; 27
23400; 27
23500; 27
23600; 27
23700; 27
23800; 27
23900; 27
24000; 27
24100; 27
24200; 27
24300; 26
24400; 26
24500; 26
24600; 26
24700; 26
24800; 26
24900; 26
25000; 26
25100; 26
25200; 26
25300; 26
25400; 26
25500; 26
25600; 26
25700; 26
25800; 26
25900; 26
26000; 26
26100; 26
26200; 26
26300; 26
26400; 26
26500; 26
26600; 26
26700; 26
26800; 26
26900; 26
27000; 26
27100; 26
27200; 26
27300; 26
27400; 26
27500; 26
27600; 26
27700; 26
27800; 26
27900; 26
28000; 26
28100; 26
28200; 26
28300; 26
28400; 26
28500; 26
28600; 26
28700; 26
28800; 26
28900; 26
29000; 26
29100; 26
29200; 26
29300; 26
29400; 26
29500; 26
29600; 26
29700; 26
29800; 26
29900; 26
30000; 26
30100; 26
30200; 26
30300; 26
30400; 26
30500; 26
30600; 26
30700; 26
30800; 26
30900; 26
31000; 26
31100; 26
31200; 26
31300; 26
31400; 26
31500; 26
31600; 26
31700; 26
31800; 26
31900; 26
32000; 26
32100; 26
32200; 26
32300; 26
32400; 26
32500; 26
32600; 26
32700; 26
32800; 26
32900; 25
33000; 25
33100; 25
33200; 25
33300; 25
33400; 25
33500; 25
33600; 25
33700; 25
33800; 25
33900; 25
34000; 25
34100; 25
34200; 25
34300; 25
34400; 25
34500; 25
34600; 25
34700; 25
34800; 25
34900; 25
35000; 25
35100; 25
35200; 25
35300; 25
35400; 25
35500; 25
35600; 25
35700; 25
35800; 25
35900; 25
36000; 25
36100; 25
36200; 25
36300; 25
36400; 25
36500; 25
36600; 25
36700; 25
36800; 25
36900; 25
37000; 25
