### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.001, NRESOURCEDIST = 49, MAXTIME = 10000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie
0; 100
10; 96
20; 90
30; 86
40; 86
50; 82
60; 82
70; 83
80; 81
90; 81
100; 82
110; 81
120; 80
130; 80
140; 79
150; 79
160; 80
170; 81
180; 79
190; 79
200; 80
210; 80
220; 81
230; 81
240; 81
250; 81
260; 80
270; 79
280; 78
290; 79
300; 79
310; 78
320; 79
330; 78
340; 79
350; 79
360; 78
370; 78
380; 75
390; 77
400; 77
410; 77
420; 77
430; 77
440; 77
450; 79
460; 77
470; 77
480; 77
490; 77
500; 77
510; 77
520; 77
530; 77
540; 76
550; 76
560; 75
570; 76
580; 78
590; 78
600; 76
610; 75
620; 75
630; 75
640; 75
650; 76
660; 76
670; 76
680; 77
690; 77
700; 75
710; 76
720; 77
730; 75
740; 77
750; 76
760; 75
770; 74
780; 74
790; 73
800; 74
810; 74
820; 72
830; 74
840; 74
850; 74
860; 74
870; 72
880; 72
890; 73
900; 74
910; 75
920; 74
930; 73
940; 74
950; 74
960; 73
970; 71
980; 71
990; 70
1000; 72
1010; 72
1020; 71
1030; 69
1040; 69
1050; 69
1060; 69
1070; 70
1080; 70
1090; 69
1100; 69
1110; 71
1120; 71
1130; 69
1140; 68
1150; 69
1160; 69
1170; 69
1180; 69
1190; 70
1200; 69
1210; 71
1220; 70
1230; 70
1240; 70
1250; 68
1260; 69
1270; 69
1280; 70
1290; 68
1300; 68
1310; 69
1320; 67
1330; 67
1340; 69
1350; 68
1360; 69
1370; 68
1380; 67
1390; 68
1400; 69
1410; 70
1420; 69
1430; 69
1440; 70
1450; 70
1460; 71
1470; 71
1480; 71
1490; 70
1500; 69
1510; 69
1520; 68
1530; 69
1540; 70
1550; 69
1560; 69
1570; 69
1580; 69
1590; 71
1600; 70
1610; 70
1620; 70
1630; 71
1640; 70
1650; 70
1660; 69
1670; 69
1680; 69
1690; 68
1700; 69
1710; 68
1720; 68
1730; 68
1740; 69
1750; 69
1760; 68
1770; 67
1780; 66
1790; 66
1800; 67
1810; 67
1820; 67
1830; 68
1840; 69
1850; 68
1860; 68
1870; 68
1880; 68
1890; 68
1900; 67
1910; 66
1920; 67
1930; 66
1940; 65
1950; 65
1960; 65
1970; 66
1980; 64
1990; 65
2000; 64
2010; 65
2020; 65
2030; 65
2040; 64
2050; 65
2060; 66
2070; 66
2080; 67
2090; 65
2100; 66
2110; 66
2120; 66
2130; 65
2140; 64
2150; 64
2160; 64
2170; 63
2180; 63
2190; 63
2200; 63
2210; 64
2220; 63
2230; 65
2240; 64
2250; 64
2260; 63
2270; 65
2280; 66
2290; 66
2300; 65
2310; 65
2320; 64
2330; 63
2340; 63
2350; 63
2360; 64
2370; 65
2380; 65
2390; 65
2400; 65
2410; 64
2420; 64
2430; 64
2440; 65
2450; 65
2460; 65
2470; 62
2480; 62
2490; 62
2500; 64
2510; 63
2520; 64
2530; 65
2540; 64
2550; 65
2560; 65
2570; 65
2580; 65
2590; 65
2600; 66
2610; 67
2620; 66
2630; 64
2640; 64
2650; 63
2660; 65
2670; 66
2680; 65
2690; 65
2700; 64
2710; 63
2720; 65
2730; 64
2740; 65
2750; 64
2760; 63
2770; 62
2780; 63
2790; 63
2800; 65
2810; 64
2820; 65
2830; 63
2840; 64
2850; 64
2860; 64
2870; 64
2880; 66
2890; 67
2900; 66
2910; 65
2920; 65
2930; 65
2940; 64
2950; 63
2960; 63
2970; 63
2980; 64
2990; 63
3000; 63
3010; 63
3020; 64
3030; 64
3040; 64
3050; 63
3060; 64
3070; 64
3080; 63
3090; 63
3100; 63
3110; 63
3120; 62
3130; 63
3140; 62
3150; 62
3160; 62
3170; 61
3180; 61
3190; 61
3200; 60
3210; 61
3220; 60
3230; 62
3240; 62
3250; 63
3260; 62
3270; 62
3280; 62
3290; 62
3300; 62
3310; 61
3320; 62
3330; 62
3340; 61
3350; 61
3360; 62
3370; 62
3380; 62
3390; 61
3400; 61
3410; 62
3420; 62
3430; 62
3440; 61
3450; 61
3460; 60
3470; 60
3480; 60
3490; 60
3500; 60
3510; 60
3520; 61
3530; 60
3540; 61
3550; 60
3560; 59
3570; 59
3580; 61
3590; 63
3600; 62
3610; 61
3620; 62
3630; 61
3640; 60
3650; 60
3660; 59
3670; 59
3680; 60
3690; 60
3700; 60
3710; 60
3720; 61
3730; 60
3740; 60
3750; 60
3760; 60
3770; 59
3780; 59
3790; 60
3800; 61
3810; 61
3820; 61
3830; 60
3840; 60
3850; 60
3860; 60
3870; 59
3880; 59
3890; 59
3900; 61
3910; 60
3920; 60
3930; 60
3940; 60
3950; 61
3960; 60
3970; 60
3980; 60
3990; 60
4000; 61
4010; 60
4020; 59
4030; 60
4040; 60
4050; 61
4060; 60
4070; 60
4080; 60
4090; 60
4100; 59
4110; 60
4120; 59
4130; 59
4140; 60
4150; 58
4160; 59
4170; 60
4180; 60
4190; 59
4200; 60
4210; 59
4220; 58
4230; 58
4240; 58
4250; 59
4260; 60
4270; 60
4280; 61
4290; 60
4300; 61
4310; 60
4320; 61
4330; 60
4340; 62
4350; 59
4360; 59
4370; 59
4380; 59
4390; 60
4400; 59
4410; 60
4420; 59
4430; 60
4440; 60
4450; 60
4460; 59
4470; 61
4480; 60
4490; 61
4500; 62
4510; 63
4520; 62
4530; 63
4540; 63
4550; 63
4560; 63
4570; 62
4580; 61
4590; 61
4600; 61
4610; 63
4620; 63
4630; 62
4640; 61
4650; 61
4660; 61
4670; 62
4680; 62
4690; 62
4700; 61
4710; 61
4720; 62
4730; 61
4740; 61
4750; 62
4760; 61
4770; 61
4780; 61
4790; 60
4800; 61
4810; 61
4820; 61
4830; 61
4840; 60
4850; 61
4860; 59
4870; 60
4880; 61
4890; 63
4900; 63
4910; 63
4920; 61
4930; 61
4940; 62
4950; 62
4960; 61
4970; 60
4980; 61
4990; 61
5000; 62
5010; 61
5020; 60
5030; 61
5040; 62
5050; 62
5060; 63
5070; 61
5080; 61
5090; 62
5100; 61
5110; 61
5120; 61
5130; 62
5140; 61
5150; 62
5160; 62
5170; 62
5180; 61
5190; 62
5200; 61
5210; 62
5220; 62
5230; 62
5240; 62
5250; 61
5260; 60
5270; 61
5280; 60
5290; 60
5300; 59
5310; 59
5320; 59
5330; 58
5340; 59
5350; 60
5360; 58
5370; 57
5380; 57
5390; 57
5400; 59
5410; 59
5420; 59
5430; 59
5440; 59
5450; 58
5460; 58
5470; 59
5480; 60
5490; 60
5500; 60
5510; 59
5520; 60
5530; 59
5540; 61
5550; 61
