### PARAMETERS VALUE ###
### LATTICESIZE = 81, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.001, NRESOURCEDIST = 6561, MAXTIME = 10000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie; param
0; 54; 9
10; 16; 9
20; 15; 9
30; 14; 9
40; 13; 9
50; 12; 9
60; 12; 9
70; 11; 9
80; 11; 9
90; 10; 9
100; 10; 9
110; 10; 9
120; 10; 9
130; 10; 9
140; 10; 9
150; 10; 9
160; 10; 9
170; 10; 9
180; 10; 9
190; 10; 9
200; 10; 9
210; 10; 9
220; 10; 9
230; 10; 9
240; 10; 9
250; 10; 9
260; 11; 9
270; 10; 9
280; 10; 9
290; 10; 9
300; 10; 9
310; 10; 9
320; 10; 9
330; 10; 9
340; 10; 9
350; 9; 9
360; 10; 9
370; 9; 9
380; 9; 9
390; 10; 9
400; 10; 9
410; 10; 9
420; 10; 9
430; 10; 9
440; 10; 9
450; 9; 9
460; 9; 9
470; 10; 9
480; 10; 9
490; 10; 9
500; 10; 9
510; 10; 9
520; 10; 9
530; 11; 9
540; 11; 9
550; 10; 9
560; 10; 9
570; 10; 9
580; 10; 9
590; 10; 9
600; 10; 9
610; 10; 9
620; 10; 9
630; 10; 9
640; 10; 9
650; 10; 9
660; 10; 9
670; 9; 9
680; 10; 9
690; 10; 9
700; 10; 9
710; 11; 9
720; 11; 9
730; 11; 9
740; 11; 9
750; 11; 9
760; 10; 9
770; 11; 9
780; 10; 9
790; 10; 9
800; 10; 9
810; 10; 9
820; 10; 9
830; 10; 9
840; 10; 9
850; 10; 9
860; 10; 9
870; 10; 9
880; 10; 9
890; 10; 9
900; 10; 9
910; 9; 9
920; 9; 9
930; 10; 9
940; 9; 9
950; 9; 9
960; 9; 9
970; 9; 9
980; 10; 9
990; 10; 9
1000; 10; 9
1010; 10; 9
1020; 10; 9
1030; 10; 9
1040; 10; 9
1050; 10; 9
1060; 10; 9
1070; 10; 9
1080; 10; 9
1090; 9; 9
1100; 9; 9
1110; 9; 9
1120; 9; 9
1130; 9; 9
1140; 9; 9
1150; 9; 9
1160; 9; 9
1170; 10; 9
1180; 9; 9
1190; 9; 9
1200; 9; 9
1210; 10; 9
1220; 10; 9
1230; 9; 9
1240; 9; 9
1250; 9; 9
1260; 9; 9
1270; 9; 9
1280; 9; 9
1290; 9; 9
1300; 9; 9
1310; 9; 9
1320; 9; 9
1330; 9; 9
1340; 9; 9
1350; 10; 9
1360; 10; 9
1370; 10; 9
1380; 9; 9
1390; 10; 9
1400; 9; 9
1410; 9; 9
1420; 10; 9
1430; 10; 9
1440; 9; 9
1450; 9; 9
1460; 9; 9
1470; 10; 9
1480; 10; 9
1490; 10; 9
1500; 10; 9
1510; 10; 9
1520; 11; 9
1530; 10; 9
1540; 11; 9
1550; 10; 9
1560; 10; 9
1570; 10; 9
1580; 9; 9
1590; 9; 9
1600; 9; 9
1610; 9; 9
1620; 9; 9
1630; 9; 9
1640; 9; 9
1650; 9; 9
1660; 9; 9
1670; 9; 9
1680; 9; 9
1690; 9; 9
1700; 9; 9
1710; 9; 9
1720; 9; 9
1730; 9; 9
1740; 10; 9
1750; 9; 9
1760; 9; 9
1770; 10; 9
1780; 9; 9
1790; 9; 9
1800; 9; 9
1810; 9; 9
1820; 10; 9
1830; 10; 9
1840; 10; 9
1850; 9; 9
1860; 9; 9
1870; 9; 9
1880; 9; 9
1890; 9; 9
1900; 9; 9
1910; 9; 9
1920; 9; 9
1930; 9; 9
1940; 9; 9
1950; 9; 9
1960; 9; 9
1970; 9; 9
1980; 9; 9
1990; 9; 9
2000; 9; 9
2010; 10; 9
2020; 10; 9
2030; 10; 9
2040; 9; 9
2050; 9; 9
2060; 10; 9
2070; 10; 9
2080; 9; 9
2090; 10; 9
2100; 10; 9
2110; 9; 9
2120; 9; 9
2130; 10; 9
2140; 9; 9
2150; 9; 9
2160; 10; 9
2170; 9; 9
2180; 10; 9
2190; 9; 9
2200; 9; 9
2210; 9; 9
2220; 9; 9
2230; 9; 9
2240; 9; 9
2250; 9; 9
2260; 9; 9
2270; 9; 9
2280; 9; 9
2290; 10; 9
2300; 10; 9
2310; 10; 9
2320; 10; 9
2330; 9; 9
2340; 9; 9
2350; 10; 9
2360; 9; 9
2370; 9; 9
2380; 9; 9
2390; 9; 9
2400; 9; 9
2410; 9; 9
2420; 9; 9
2430; 8; 9
2440; 9; 9
2450; 9; 9
2460; 9; 9
2470; 9; 9
2480; 10; 9
2490; 10; 9
2500; 9; 9
2510; 10; 9
2520; 10; 9
2530; 10; 9
2540; 10; 9
2550; 9; 9
2560; 9; 9
2570; 10; 9
2580; 9; 9
2590; 9; 9
2600; 10; 9
2610; 10; 9
2620; 10; 9
2630; 10; 9
2640; 9; 9
2650; 10; 9
2660; 9; 9
2670; 10; 9
2680; 10; 9
2690; 10; 9
2700; 9; 9
2710; 9; 9
2720; 9; 9
