### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.005, NRESOURCEDIST = 49, MAXTIME = 10000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie; param
0; 100; 0
10; 93; 0
20; 83; 0
30; 78; 0
40; 75; 0
50; 72; 0
60; 70; 0
70; 69; 0
80; 68; 0
90; 67; 0
100; 66; 0
110; 65; 0
120; 65; 0
130; 64; 0
140; 64; 0
150; 63; 0
160; 62; 0
170; 62; 0
180; 61; 0
190; 61; 0
200; 60; 0
210; 60; 0
220; 60; 0
230; 59; 0
240; 59; 0
250; 59; 0
260; 59; 0
270; 58; 0
280; 58; 0
290; 58; 0
300; 58; 0
310; 58; 0
320; 58; 0
330; 58; 0
340; 57; 0
350; 57; 0
360; 57; 0
370; 57; 0
380; 57; 0
390; 56; 0
400; 56; 0
410; 56; 0
420; 56; 0
430; 56; 0
440; 56; 0
450; 56; 0
460; 56; 0
470; 55; 0
480; 55; 0
490; 55; 0
500; 55; 0
510; 55; 0
520; 55; 0
530; 55; 0
540; 55; 0
550; 55; 0
560; 55; 0
570; 54; 0
580; 54; 0
590; 54; 0
600; 53; 0
610; 53; 0
620; 53; 0
630; 53; 0
640; 53; 0
650; 53; 0
660; 53; 0
670; 53; 0
680; 53; 0
690; 53; 0
700; 52; 0
710; 52; 0
720; 52; 0
730; 52; 0
740; 52; 0
750; 52; 0
760; 52; 0
770; 52; 0
780; 52; 0
790; 52; 0
800; 51; 0
810; 51; 0
820; 51; 0
830; 51; 0
840; 51; 0
850; 51; 0
860; 51; 0
870; 51; 0
880; 51; 0
890; 51; 0
900; 51; 0
910; 51; 0
920; 51; 0
930; 51; 0
940; 51; 0
950; 51; 0
960; 51; 0
970; 51; 0
980; 51; 0
990; 51; 0
1000; 51; 0
1010; 51; 0
1020; 50; 0
1030; 50; 0
1040; 50; 0
1050; 50; 0
1060; 50; 0
1070; 50; 0
1080; 50; 0
1090; 50; 0
1100; 50; 0
1110; 50; 0
1120; 50; 0
1130; 50; 0
1140; 50; 0
1150; 50; 0
1160; 50; 0
1170; 50; 0
1180; 50; 0
1190; 50; 0
1200; 50; 0
1210; 50; 0
1220; 50; 0
1230; 50; 0
1240; 50; 0
1250; 50; 0
1260; 50; 0
1270; 49; 0
1280; 49; 0
1290; 49; 0
1300; 49; 0
1310; 49; 0
1320; 49; 0
1330; 49; 0
1340; 49; 0
1350; 49; 0
1360; 49; 0
1370; 49; 0
1380; 49; 0
1390; 49; 0
1400; 49; 0
1410; 49; 0
1420; 49; 0
1430; 49; 0
1440; 49; 0
1450; 49; 0
1460; 49; 0
1470; 49; 0
1480; 49; 0
1490; 49; 0
1500; 49; 0
1510; 49; 0
1520; 48; 0
1530; 48; 0
1540; 48; 0
1550; 48; 0
1560; 48; 0
1570; 48; 0
1580; 48; 0
1590; 48; 0
1600; 48; 0
1610; 48; 0
1620; 48; 0
1630; 48; 0
1640; 48; 0
1650; 48; 0
1660; 48; 0
1670; 48; 0
1680; 48; 0
1690; 48; 0
1700; 48; 0
1710; 48; 0
1720; 48; 0
1730; 48; 0
1740; 48; 0
1750; 48; 0
1760; 48; 0
1770; 48; 0
1780; 48; 0
1790; 48; 0
1800; 48; 0
1810; 48; 0
1820; 48; 0
1830; 47; 0
1840; 47; 0
1850; 47; 0
1860; 47; 0
1870; 47; 0
1880; 47; 0
1890; 47; 0
1900; 47; 0
1910; 47; 0
1920; 47; 0
1930; 47; 0
1940; 47; 0
1950; 47; 0
1960; 47; 0
1970; 47; 0
1980; 47; 0
1990; 47; 0
2000; 47; 0
2010; 47; 0
2020; 47; 0
2030; 47; 0
2040; 47; 0
2050; 47; 0
2060; 47; 0
2070; 47; 0
2080; 47; 0
2090; 47; 0
2100; 47; 0
2110; 47; 0
2120; 46; 0
2130; 46; 0
2140; 46; 0
2150; 46; 0
2160; 46; 0
2170; 46; 0
2180; 46; 0
2190; 46; 0
2200; 46; 0
2210; 46; 0
2220; 46; 0
2230; 46; 0
2240; 46; 0
2250; 46; 0
2260; 46; 0
2270; 46; 0
2280; 46; 0
2290; 46; 0
2300; 46; 0
2310; 46; 0
2320; 46; 0
2330; 46; 0
2340; 46; 0
2350; 46; 0
2360; 46; 0
2370; 46; 0
2380; 46; 0
2390; 46; 0
2400; 46; 0
2410; 46; 0
2420; 46; 0
2430; 46; 0
2440; 46; 0
2450; 46; 0
2460; 46; 0
2470; 46; 0
2480; 46; 0
2490; 46; 0
2500; 46; 0
2510; 46; 0
2520; 46; 0
2530; 46; 0
2540; 46; 0
2550; 46; 0
2560; 46; 0
2570; 46; 0
2580; 46; 0
2590; 46; 0
2600; 46; 0
2610; 46; 0
2620; 46; 0
2630; 46; 0
2640; 46; 0
2650; 46; 0
2660; 46; 0
2670; 46; 0
2680; 46; 0
2690; 46; 0
2700; 46; 0
2710; 46; 0
2720; 46; 0
2730; 46; 0
2740; 46; 0
2750; 46; 0
2760; 46; 0
2770; 45; 0
2780; 45; 0
2790; 45; 0
2800; 45; 0
2810; 45; 0
2820; 45; 0
2830; 45; 0
2840; 45; 0
2850; 45; 0
2860; 45; 0
2870; 45; 0
2880; 45; 0
2890; 45; 0
2900; 45; 0
2910; 45; 0
2920; 45; 0
2930; 45; 0
2940; 45; 0
2950; 45; 0
2960; 45; 0
2970; 45; 0
2980; 45; 0
2990; 45; 0
3000; 45; 0
3010; 45; 0
3020; 45; 0
3030; 45; 0
3040; 45; 0
3050; 45; 0
3060; 45; 0
3070; 45; 0
3080; 45; 0
3090; 45; 0
3100; 45; 0
3110; 45; 0
3120; 45; 0
3130; 45; 0
