### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 125, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.001, NRESOURCEDIST = 49, MAXTIME = 10000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie; param
0; 100; 50
10; 97; 50
20; 91; 50
30; 87; 50
40; 86; 50
50; 85; 50
60; 84; 50
70; 85; 50
80; 85; 50
90; 86; 50
100; 85; 50
110; 86; 50
120; 87; 50
130; 87; 50
140; 87; 50
150; 88; 50
160; 87; 50
170; 86; 50
180; 86; 50
190; 87; 50
200; 87; 50
210; 87; 50
220; 89; 50
230; 87; 50
240; 88; 50
250; 87; 50
260; 88; 50
270; 88; 50
280; 88; 50
290; 88; 50
300; 90; 50
310; 90; 50
320; 88; 50
330; 88; 50
340; 87; 50
350; 87; 50
360; 86; 50
370; 86; 50
380; 85; 50
390; 86; 50
400; 86; 50
410; 86; 50
420; 86; 50
430; 86; 50
440; 86; 50
450; 85; 50
460; 85; 50
470; 85; 50
480; 86; 50
490; 86; 50
500; 85; 50
510; 85; 50
520; 86; 50
530; 84; 50
540; 84; 50
550; 84; 50
560; 85; 50
570; 86; 50
580; 86; 50
590; 85; 50
600; 84; 50
610; 85; 50
620; 86; 50
630; 86; 50
640; 85; 50
650; 85; 50
660; 84; 50
670; 84; 50
680; 84; 50
690; 85; 50
700; 85; 50
710; 85; 50
720; 85; 50
730; 85; 50
740; 86; 50
750; 85; 50
760; 84; 50
770; 85; 50
780; 85; 50
790; 84; 50
800; 83; 50
810; 84; 50
820; 83; 50
830; 83; 50
840; 83; 50
850; 83; 50
860; 83; 50
870; 84; 50
880; 84; 50
890; 83; 50
900; 83; 50
910; 82; 50
920; 82; 50
930; 82; 50
940; 82; 50
950; 82; 50
960; 82; 50
970; 82; 50
980; 82; 50
990; 82; 50
1000; 82; 50
1010; 83; 50
1020; 83; 50
1030; 82; 50
1040; 82; 50
1050; 81; 50
1060; 81; 50
1070; 81; 50
1080; 82; 50
1090; 82; 50
1100; 82; 50
1110; 81; 50
1120; 81; 50
1130; 81; 50
1140; 81; 50
1150; 82; 50
1160; 81; 50
1170; 80; 50
1180; 82; 50
1190; 82; 50
1200; 81; 50
1210; 81; 50
1220; 81; 50
1230; 81; 50
1240; 81; 50
1250; 80; 50
1260; 80; 50
1270; 80; 50
1280; 80; 50
1290; 82; 50
1300; 81; 50
1310; 81; 50
1320; 80; 50
1330; 81; 50
1340; 83; 50
1350; 81; 50
1360; 79; 50
1370; 79; 50
1380; 81; 50
1390; 80; 50
1400; 80; 50
1410; 78; 50
1420; 80; 50
1430; 80; 50
1440; 81; 50
1450; 81; 50
1460; 81; 50
1470; 82; 50
1480; 81; 50
1490; 80; 50
1500; 80; 50
1510; 80; 50
1520; 78; 50
1530; 79; 50
1540; 79; 50
1550; 80; 50
1560; 79; 50
1570; 80; 50
1580; 80; 50
1590; 78; 50
1600; 78; 50
1610; 79; 50
1620; 79; 50
1630; 79; 50
1640; 80; 50
1650; 80; 50
1660; 80; 50
1670; 79; 50
1680; 80; 50
1690; 80; 50
1700; 79; 50
1710; 78; 50
1720; 78; 50
1730; 79; 50
1740; 80; 50
1750; 81; 50
1760; 81; 50
1770; 78; 50
1780; 78; 50
1790; 76; 50
1800; 79; 50
1810; 78; 50
1820; 79; 50
1830; 79; 50
1840; 79; 50
1850; 79; 50
1860; 79; 50
1870; 79; 50
1880; 80; 50
1890; 79; 50
1900; 79; 50
1910; 80; 50
1920; 81; 50
1930; 81; 50
1940; 81; 50
1950; 82; 50
1960; 81; 50
1970; 81; 50
1980; 80; 50
1990; 80; 50
2000; 80; 50
2010; 80; 50
2020; 78; 50
2030; 79; 50
2040; 79; 50
2050; 79; 50
2060; 79; 50
2070; 80; 50
2080; 80; 50
2090; 79; 50
2100; 80; 50
2110; 79; 50
2120; 79; 50
2130; 79; 50
2140; 78; 50
2150; 78; 50
2160; 80; 50
2170; 79; 50
2180; 79; 50
2190; 78; 50
2200; 78; 50
2210; 78; 50
2220; 78; 50
2230; 78; 50
2240; 78; 50
2250; 78; 50
2260; 79; 50
2270; 79; 50
2280; 78; 50
2290; 78; 50
2300; 78; 50
2310; 79; 50
2320; 78; 50
2330; 78; 50
2340; 77; 50
2350; 77; 50
2360; 77; 50
2370; 76; 50
2380; 76; 50
2390; 77; 50
2400; 76; 50
2410; 76; 50
2420; 76; 50
2430; 76; 50
2440; 75; 50
2450; 75; 50
2460; 77; 50
2470; 77; 50
2480; 76; 50
2490; 77; 50
2500; 78; 50
2510; 78; 50
2520; 78; 50
2530; 77; 50
2540; 78; 50
2550; 78; 50
2560; 78; 50
2570; 78; 50
2580; 77; 50
2590; 76; 50
2600; 75; 50
2610; 76; 50
2620; 77; 50
2630; 77; 50
2640; 76; 50
2650; 77; 50
2660; 78; 50
2670; 78; 50
2680; 77; 50
2690; 78; 50
2700; 76; 50
2710; 76; 50
2720; 76; 50
2730; 77; 50
2740; 76; 50
2750; 76; 50
2760; 75; 50
2770; 75; 50
2780; 76; 50
2790; 78; 50
2800; 78; 50
2810; 78; 50
2820; 78; 50
2830; 79; 50
2840; 80; 50
2850; 80; 50
2860; 79; 50
2870; 79; 50
2880; 78; 50
2890; 79; 50
2900; 77; 50
2910; 78; 50
2920; 78; 50
2930; 78; 50
2940; 78; 50
2950; 78; 50
2960; 78; 50
2970; 79; 50
2980; 80; 50
2990; 77; 50
3000; 76; 50
3010; 76; 50
3020; 77; 50
3030; 77; 50
3040; 76; 50
3050; 76; 50
3060; 75; 50
3070; 75; 50
3080; 74; 50
3090; 76; 50
3100; 76; 50
3110; 75; 50
3120; 76; 50
3130; 75; 50
3140; 75; 50
3150; 74; 50
3160; 76; 50
3170; 76; 50
3180; 77; 50
3190; 77; 50
3200; 77; 50
3210; 77; 50
3220; 76; 50
3230; 76; 50
3240; 75; 50
3250; 76; 50
3260; 77; 50
3270; 77; 50
3280; 76; 50
3290; 75; 50
3300; 76; 50
3310; 75; 50
3320; 76; 50
3330; 77; 50
3340; 78; 50
3350; 78; 50
3360; 77; 50
3370; 78; 50
3380; 76; 50
3390; 75; 50
3400; 75; 50
3410; 76; 50
3420; 76; 50
3430; 76; 50
3440; 76; 50
3450; 77; 50
3460; 76; 50
3470; 76; 50
3480; 76; 50
3490; 76; 50
3500; 75; 50
3510; 76; 50
3520; 76; 50
3530; 76; 50
3540; 75; 50
3550; 76; 50
3560; 76; 50
3570; 77; 50
3580; 77; 50
3590; 75; 50
3600; 76; 50
3610; 75; 50
3620; 75; 50
3630; 76; 50
3640; 77; 50
3650; 75; 50
3660; 77; 50
3670; 75; 50
3680; 74; 50
3690; 75; 50
3700; 75; 50
3710; 76; 50
3720; 75; 50
3730; 74; 50
3740; 73; 50
3750; 73; 50
3760; 73; 50
3770; 74; 50
3780; 73; 50
3790; 74; 50
3800; 73; 50
3810; 74; 50
3820; 74; 50
3830; 75; 50
3840; 76; 50
3850; 77; 50
3860; 76; 50
3870; 75; 50
3880; 73; 50
3890; 74; 50
3900; 74; 50
3910; 74; 50
3920; 75; 50
3930; 74; 50
3940; 73; 50
3950; 74; 50
3960; 75; 50
3970; 75; 50
3980; 74; 50
3990; 74; 50
4000; 74; 50
4010; 74; 50
4020; 74; 50
4030; 74; 50
4040; 75; 50
4050; 75; 50
4060; 75; 50
4070; 74; 50
4080; 74; 50
4090; 75; 50
4100; 74; 50
4110; 74; 50
4120; 74; 50
4130; 73; 50
4140; 73; 50
4150; 73; 50
4160; 72; 50
4170; 73; 50
4180; 74; 50
4190; 75; 50
4200; 75; 50
4210; 75; 50
4220; 75; 50
4230; 75; 50
4240; 76; 50
4250; 76; 50
4260; 75; 50
4270; 76; 50
4280; 75; 50
4290; 74; 50
4300; 75; 50
4310; 75; 50
4320; 74; 50
4330; 74; 50
4340; 74; 50
4350; 76; 50
4360; 76; 50
4370; 77; 50
4380; 76; 50
4390; 76; 50
4400; 75; 50
4410; 75; 50
4420; 76; 50
4430; 76; 50
4440; 75; 50
4450; 76; 50
4460; 76; 50
4470; 77; 50
4480; 77; 50
4490; 76; 50
4500; 75; 50
4510; 75; 50
4520; 75; 50
4530; 76; 50
4540; 75; 50
4550; 75; 50
4560; 74; 50
4570; 74; 50
4580; 75; 50
4590; 76; 50
4600; 76; 50
4610; 75; 50
4620; 75; 50
4630; 75; 50
4640; 75; 50
4650; 75; 50
4660; 74; 50
4670; 74; 50
4680; 73; 50
4690; 74; 50
4700; 74; 50
4710; 74; 50
4720; 75; 50
4730; 75; 50
4740; 76; 50
4750; 75; 50
4760; 73; 50
4770; 73; 50
4780; 73; 50
4790; 74; 50
4800; 75; 50
4810; 75; 50
4820; 75; 50
4830; 76; 50
4840; 74; 50
4850; 74; 50
4860; 75; 50
4870; 75; 50
4880; 74; 50
4890; 74; 50
4900; 73; 50
4910; 74; 50
4920; 73; 50
4930; 74; 50
4940; 75; 50
4950; 75; 50
4960; 74; 50
4970; 75; 50
4980; 74; 50
4990; 75; 50
5000; 75; 50
5010; 74; 50
5020; 75; 50
5030; 75; 50
5040; 75; 50
5050; 73; 50
5060; 74; 50
5070; 74; 50
5080; 74; 50
5090; 74; 50
5100; 75; 50
5110; 75; 50
5120; 73; 50
5130; 74; 50
5140; 74; 50
5150; 73; 50
5160; 74; 50
5170; 74; 50
5180; 75; 50
5190; 73; 50
5200; 75; 50
5210; 76; 50
5220; 75; 50
5230; 75; 50
5240; 75; 50
5250; 76; 50
5260; 75; 50
5270; 75; 50
5280; 75; 50
5290; 76; 50
5300; 75; 50
5310; 74; 50
5320; 74; 50
5330; 73; 50
5340; 73; 50
5350; 76; 50
5360; 76; 50
5370; 75; 50
5380; 77; 50
5390; 76; 50
5400; 76; 50
5410; 75; 50
5420; 76; 50
5430; 75; 50
5440; 77; 50
5450; 76; 50
5460; 76; 50
5470; 78; 50
5480; 77; 50
5490; 76; 50
5500; 74; 50
5510; 74; 50
5520; 75; 50
5530; 75; 50
5540; 74; 50
5550; 74; 50
5560; 75; 50
5570; 74; 50
5580; 74; 50
5590; 75; 50
5600; 74; 50
5610; 75; 50
5620; 75; 50
5630; 75; 50
5640; 76; 50
5650; 75; 50
5660; 74; 50
5670; 75; 50
5680; 75; 50
5690; 76; 50
5700; 75; 50
5710; 74; 50
5720; 75; 50
5730; 74; 50
5740; 75; 50
5750; 75; 50
5760; 76; 50
5770; 77; 50
5780; 76; 50
5790; 77; 50
5800; 77; 50
5810; 78; 50
5820; 78; 50
5830; 77; 50
5840; 76; 50
5850; 75; 50
5860; 74; 50
5870; 75; 50
5880; 75; 50
5890; 74; 50
5900; 74; 50
5910; 74; 50
5920; 74; 50
5930; 73; 50
5940; 74; 50
5950; 74; 50
5960; 72; 50
5970; 74; 50
5980; 73; 50
5990; 73; 50
6000; 72; 50
6010; 73; 50
6020; 73; 50
6030; 73; 50
6040; 72; 50
6050; 73; 50
6060; 74; 50
6070; 73; 50
6080; 73; 50
6090; 72; 50
6100; 73; 50
6110; 74; 50
6120; 73; 50
6130; 74; 50
6140; 74; 50
