### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.1, MUTATIONPROB = 0.001, NRESOURCEDIST = 2401, MAXTIME = 10000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie; param
0; 100; 1
10; 94; 1
20; 88; 1
30; 86; 1
40; 84; 1
50; 83; 1
60; 84; 1
70; 84; 1
80; 85; 1
90; 84; 1
100; 84; 1
110; 82; 1
120; 83; 1
130; 83; 1
140; 86; 1
150; 85; 1
160; 84; 1
170; 85; 1
180; 85; 1
190; 84; 1
200; 85; 1
210; 86; 1
220; 86; 1
230; 85; 1
240; 83; 1
250; 84; 1
260; 84; 1
270; 84; 1
280; 85; 1
290; 85; 1
300; 84; 1
310; 85; 1
320; 85; 1
330; 85; 1
340; 83; 1
350; 83; 1
360; 83; 1
370; 83; 1
380; 84; 1
390; 83; 1
400; 83; 1
410; 83; 1
420; 83; 1
430; 84; 1
440; 84; 1
450; 83; 1
460; 83; 1
470; 85; 1
480; 84; 1
490; 83; 1
500; 84; 1
510; 82; 1
520; 82; 1
530; 83; 1
540; 82; 1
550; 83; 1
560; 82; 1
570; 83; 1
580; 84; 1
590; 82; 1
600; 83; 1
610; 84; 1
620; 84; 1
630; 84; 1
640; 84; 1
650; 84; 1
660; 82; 1
670; 83; 1
680; 83; 1
690; 84; 1
700; 83; 1
710; 83; 1
720; 83; 1
730; 84; 1
740; 84; 1
750; 83; 1
760; 82; 1
770; 83; 1
780; 83; 1
790; 85; 1
800; 84; 1
810; 84; 1
820; 84; 1
830; 83; 1
840; 84; 1
850; 82; 1
860; 82; 1
870; 82; 1
880; 83; 1
890; 81; 1
900; 82; 1
910; 80; 1
920; 81; 1
930; 81; 1
940; 82; 1
950; 80; 1
960; 80; 1
970; 81; 1
980; 81; 1
990; 80; 1
1000; 81; 1
1010; 80; 1
1020; 80; 1
1030; 80; 1
1040; 80; 1
1050; 80; 1
1060; 80; 1
1070; 79; 1
1080; 79; 1
1090; 81; 1
1100; 80; 1
1110; 80; 1
1120; 80; 1
1130; 80; 1
1140; 81; 1
1150; 80; 1
1160; 80; 1
1170; 81; 1
1180; 80; 1
1190; 81; 1
1200; 81; 1
1210; 80; 1
1220; 80; 1
1230; 80; 1
1240; 79; 1
1250; 80; 1
1260; 79; 1
1270; 79; 1
1280; 78; 1
1290; 77; 1
1300; 77; 1
1310; 78; 1
1320; 79; 1
1330; 78; 1
1340; 79; 1
1350; 78; 1
1360; 79; 1
1370; 80; 1
1380; 81; 1
1390; 80; 1
1400; 80; 1
1410; 81; 1
1420; 80; 1
1430; 80; 1
1440; 79; 1
1450; 79; 1
1460; 78; 1
1470; 79; 1
1480; 79; 1
1490; 79; 1
1500; 78; 1
1510; 79; 1
1520; 79; 1
1530; 78; 1
1540; 79; 1
1550; 80; 1
1560; 78; 1
1570; 78; 1
1580; 78; 1
1590; 79; 1
1600; 79; 1
1610; 78; 1
1620; 79; 1
1630; 79; 1
1640; 78; 1
1650; 78; 1
1660; 77; 1
1670; 77; 1
1680; 77; 1
1690; 76; 1
1700; 77; 1
1710; 76; 1
1720; 77; 1
1730; 78; 1
1740; 78; 1
1750; 77; 1
1760; 77; 1
1770; 76; 1
1780; 77; 1
1790; 78; 1
1800; 78; 1
1810; 78; 1
1820; 77; 1
1830; 79; 1
1840; 80; 1
1850; 79; 1
1860; 79; 1
1870; 78; 1
1880; 79; 1
1890; 77; 1
1900; 78; 1
1910; 78; 1
1920; 77; 1
1930; 77; 1
1940; 77; 1
1950; 78; 1
1960; 77; 1
1970; 78; 1
1980; 77; 1
1990; 78; 1
2000; 78; 1
2010; 78; 1
2020; 78; 1
2030; 77; 1
2040; 78; 1
2050; 77; 1
2060; 77; 1
2070; 78; 1
2080; 78; 1
2090; 78; 1
2100; 78; 1
2110; 78; 1
2120; 79; 1
2130; 77; 1
2140; 79; 1
2150; 79; 1
2160; 78; 1
2170; 76; 1
2180; 76; 1
2190; 77; 1
2200; 77; 1
2210; 77; 1
2220; 78; 1
2230; 76; 1
2240; 78; 1
2250; 76; 1
2260; 75; 1
2270; 75; 1
2280; 76; 1
2290; 75; 1
2300; 75; 1
2310; 74; 1
2320; 75; 1
2330; 75; 1
2340; 76; 1
2350; 77; 1
2360; 77; 1
2370; 78; 1
2380; 77; 1
2390; 77; 1
2400; 76; 1
2410; 76; 1
2420; 76; 1
2430; 76; 1
2440; 75; 1
2450; 75; 1
2460; 76; 1
2470; 76; 1
2480; 76; 1
2490; 75; 1
2500; 75; 1
2510; 74; 1
2520; 75; 1
2530; 74; 1
2540; 74; 1
2550; 75; 1
2560; 75; 1
2570; 76; 1
2580; 75; 1
2590; 74; 1
2600; 75; 1
2610; 76; 1
2620; 76; 1
2630; 74; 1
2640; 75; 1
2650; 75; 1
2660; 75; 1
2670; 74; 1
2680; 75; 1
2690; 77; 1
2700; 76; 1
2710; 76; 1
2720; 76; 1
2730; 76; 1
2740; 76; 1
2750; 76; 1
2760; 75; 1
2770; 76; 1
2780; 76; 1
2790; 77; 1
2800; 75; 1
2810; 78; 1
2820; 77; 1
2830; 76; 1
2840; 76; 1
2850; 76; 1
2860; 73; 1
2870; 74; 1
2880; 75; 1
2890; 74; 1
2900; 73; 1
2910; 75; 1
2920; 76; 1
2930; 77; 1
2940; 78; 1
2950; 76; 1
2960; 76; 1
2970; 76; 1
2980; 77; 1
2990; 77; 1
3000; 77; 1
3010; 76; 1
3020; 75; 1
3030; 75; 1
3040; 76; 1
3050; 75; 1
3060; 74; 1
3070; 75; 1
3080; 74; 1
3090; 73; 1
3100; 74; 1
3110; 73; 1
3120; 74; 1
3130; 73; 1
3140; 74; 1
3150; 74; 1
3160; 74; 1
3170; 75; 1
3180; 75; 1
3190; 76; 1
3200; 76; 1
3210; 75; 1
3220; 76; 1
3230; 76; 1
3240; 76; 1
3250; 74; 1
3260; 75; 1
3270; 76; 1
3280; 76; 1
3290; 76; 1
3300; 75; 1
3310; 75; 1
3320; 75; 1
3330; 75; 1
3340; 74; 1
3350; 74; 1
3360; 73; 1
3370; 74; 1
3380; 75; 1
3390; 74; 1
3400; 75; 1
3410; 75; 1
3420; 75; 1
3430; 76; 1
3440; 75; 1
3450; 76; 1
3460; 75; 1
3470; 75; 1
3480; 74; 1
3490; 74; 1
3500; 74; 1
3510; 73; 1
3520; 74; 1
3530; 72; 1
3540; 73; 1
3550; 73; 1
3560; 74; 1
3570; 74; 1
3580; 74; 1
3590; 74; 1
3600; 75; 1
3610; 75; 1
3620; 74; 1
3630; 73; 1
3640; 72; 1
3650; 72; 1
3660; 73; 1
3670; 73; 1
3680; 74; 1
3690; 75; 1
3700; 75; 1
3710; 75; 1
3720; 75; 1
3730; 74; 1
3740; 72; 1
3750; 73; 1
3760; 74; 1
3770; 74; 1
3780; 73; 1
3790; 73; 1
3800; 72; 1
3810; 73; 1
3820; 73; 1
3830; 73; 1
3840; 73; 1
3850; 75; 1
3860; 74; 1
3870; 75; 1
3880; 75; 1
3890; 75; 1
3900; 74; 1
3910; 73; 1
3920; 72; 1
3930; 72; 1
3940; 72; 1
3950; 71; 1
3960; 73; 1
3970; 73; 1
3980; 74; 1
3990; 74; 1
4000; 74; 1
4010; 74; 1
4020; 74; 1
4030; 74; 1
4040; 73; 1
4050; 73; 1
4060; 74; 1
4070; 75; 1
4080; 74; 1
4090; 75; 1
4100; 77; 1
4110; 75; 1
4120; 72; 1
4130; 72; 1
4140; 72; 1
4150; 72; 1
4160; 72; 1
4170; 71; 1
4180; 72; 1
4190; 70; 1
4200; 72; 1
4210; 73; 1
4220; 73; 1
4230; 73; 1
4240; 73; 1
4250; 74; 1
4260; 73; 1
4270; 74; 1
4280; 74; 1
4290; 74; 1
4300; 74; 1
4310; 75; 1
4320; 74; 1
4330; 73; 1
4340; 74; 1
4350; 72; 1
4360; 72; 1
4370; 72; 1
4380; 72; 1
4390; 72; 1
4400; 73; 1
4410; 73; 1
4420; 74; 1
4430; 73; 1
4440; 74; 1
4450; 75; 1
4460; 75; 1
4470; 75; 1
4480; 75; 1
4490; 75; 1
4500; 76; 1
4510; 75; 1
4520; 74; 1
4530; 74; 1
4540; 74; 1
4550; 73; 1
4560; 74; 1
4570; 75; 1
4580; 75; 1
4590; 76; 1
4600; 76; 1
4610; 76; 1
4620; 76; 1
4630; 76; 1
4640; 74; 1
4650; 75; 1
4660; 75; 1
4670; 74; 1
4680; 75; 1
4690; 74; 1
4700; 75; 1
4710; 75; 1
4720; 74; 1
4730; 75; 1
4740; 76; 1
4750; 74; 1
4760; 75; 1
4770; 74; 1
4780; 73; 1
4790; 74; 1
4800; 74; 1
4810; 73; 1
4820; 73; 1
4830; 73; 1
4840; 74; 1
4850; 74; 1
4860; 74; 1
4870; 74; 1
4880; 73; 1
4890; 73; 1
4900; 73; 1
4910; 75; 1
4920; 74; 1
4930; 75; 1
4940; 74; 1
4950; 72; 1
4960; 74; 1
4970; 74; 1
4980; 76; 1
4990; 76; 1
5000; 75; 1
5010; 75; 1
5020; 75; 1
5030; 73; 1
5040; 75; 1
5050; 74; 1
5060; 75; 1
5070; 74; 1
5080; 73; 1
5090; 74; 1
5100; 72; 1
5110; 72; 1
5120; 73; 1
5130; 74; 1
5140; 74; 1
5150; 73; 1
5160; 73; 1
5170; 73; 1
5180; 75; 1
5190; 75; 1
5200; 74; 1
5210; 74; 1
5220; 74; 1
5230; 74; 1
5240; 74; 1
5250; 75; 1
5260; 75; 1
5270; 76; 1
5280; 75; 1
5290; 76; 1
5300; 75; 1
5310; 74; 1
5320; 73; 1
5330; 73; 1
5340; 73; 1
5350; 73; 1
5360; 73; 1
5370; 73; 1
5380; 74; 1
5390; 74; 1
5400; 73; 1
5410; 73; 1
5420; 74; 1
5430; 73; 1
5440; 73; 1
5450; 74; 1
5460; 73; 1
5470; 74; 1
5480; 74; 1
5490; 74; 1
5500; 73; 1
5510; 71; 1
5520; 71; 1
5530; 71; 1
5540; 71; 1
5550; 72; 1
5560; 72; 1
5570; 72; 1
5580; 72; 1
5590; 74; 1
5600; 74; 1
5610; 74; 1
5620; 72; 1
5630; 71; 1
5640; 72; 1
5650; 74; 1
5660; 73; 1
5670; 74; 1
5680; 74; 1
5690; 74; 1
5700; 75; 1
5710; 75; 1
5720; 75; 1
5730; 75; 1
