### PARAMETERS VALUE ###
### LATTICESIZE = 49, NSPECIE = 100, NRESOURCE = 3, DEATHPROB = 0.25, MUTATIONPROB = 0.001, NRESOURCEDIST = 49, MAXTIME = 10000, TIMEINTERVAL = 10, NRUN = 10 ###

time; nSpecie; param
0; 100; 0.025
10; 95; 0.025
20; 91; 0.025
30; 87; 0.025
40; 85; 0.025
50; 86; 0.025
60; 85; 0.025
70; 86; 0.025
80; 85; 0.025
90; 84; 0.025
100; 84; 0.025
110; 83; 0.025
120; 84; 0.025
130; 83; 0.025
140; 84; 0.025
150; 85; 0.025
160; 84; 0.025
170; 84; 0.025
180; 84; 0.025
190; 84; 0.025
200; 85; 0.025
210; 86; 0.025
220; 85; 0.025
230; 85; 0.025
240; 87; 0.025
250; 86; 0.025
260; 87; 0.025
270; 86; 0.025
280; 86; 0.025
290; 85; 0.025
300; 86; 0.025
310; 86; 0.025
320; 85; 0.025
330; 87; 0.025
340; 86; 0.025
350; 86; 0.025
360; 87; 0.025
370; 88; 0.025
380; 86; 0.025
390; 85; 0.025
400; 85; 0.025
410; 85; 0.025
420; 85; 0.025
430; 85; 0.025
440; 84; 0.025
450; 84; 0.025
460; 84; 0.025
470; 83; 0.025
480; 82; 0.025
490; 83; 0.025
500; 83; 0.025
510; 83; 0.025
520; 81; 0.025
530; 82; 0.025
540; 82; 0.025
550; 83; 0.025
560; 82; 0.025
570; 82; 0.025
580; 82; 0.025
590; 83; 0.025
600; 83; 0.025
610; 84; 0.025
620; 83; 0.025
630; 82; 0.025
640; 83; 0.025
650; 82; 0.025
660; 83; 0.025
670; 83; 0.025
680; 82; 0.025
690; 82; 0.025
700; 83; 0.025
710; 81; 0.025
720; 82; 0.025
730; 81; 0.025
740; 82; 0.025
750; 83; 0.025
760; 82; 0.025
770; 83; 0.025
780; 82; 0.025
790; 82; 0.025
800; 81; 0.025
810; 81; 0.025
820; 81; 0.025
830; 80; 0.025
840; 80; 0.025
850; 81; 0.025
860; 79; 0.025
870; 80; 0.025
880; 80; 0.025
890; 80; 0.025
900; 80; 0.025
910; 81; 0.025
920; 80; 0.025
930; 80; 0.025
940; 80; 0.025
950; 79; 0.025
960; 79; 0.025
970; 79; 0.025
980; 77; 0.025
990; 79; 0.025
1000; 78; 0.025
1010; 78; 0.025
1020; 78; 0.025
1030; 79; 0.025
1040; 80; 0.025
1050; 80; 0.025
1060; 81; 0.025
1070; 80; 0.025
1080; 79; 0.025
1090; 78; 0.025
1100; 78; 0.025
1110; 78; 0.025
1120; 77; 0.025
1130; 77; 0.025
1140; 78; 0.025
1150; 79; 0.025
1160; 78; 0.025
1170; 79; 0.025
1180; 79; 0.025
1190; 77; 0.025
1200; 77; 0.025
1210; 78; 0.025
1220; 78; 0.025
1230; 77; 0.025
1240; 77; 0.025
1250; 76; 0.025
1260; 75; 0.025
1270; 75; 0.025
1280; 76; 0.025
1290; 75; 0.025
1300; 75; 0.025
1310; 77; 0.025
1320; 76; 0.025
1330; 76; 0.025
1340; 78; 0.025
1350; 78; 0.025
1360; 78; 0.025
1370; 78; 0.025
1380; 79; 0.025
1390; 79; 0.025
1400; 79; 0.025
1410; 78; 0.025
1420; 78; 0.025
1430; 78; 0.025
1440; 78; 0.025
1450; 78; 0.025
1460; 77; 0.025
1470; 77; 0.025
1480; 78; 0.025
1490; 78; 0.025
1500; 76; 0.025
1510; 76; 0.025
1520; 77; 0.025
1530; 76; 0.025
1540; 77; 0.025
1550; 79; 0.025
1560; 78; 0.025
1570; 79; 0.025
1580; 79; 0.025
1590; 79; 0.025
1600; 79; 0.025
1610; 78; 0.025
1620; 77; 0.025
1630; 75; 0.025
1640; 75; 0.025
1650; 75; 0.025
1660; 75; 0.025
1670; 75; 0.025
1680; 76; 0.025
1690; 76; 0.025
1700; 76; 0.025
1710; 76; 0.025
1720; 75; 0.025
1730; 74; 0.025
1740; 75; 0.025
1750; 76; 0.025
1760; 75; 0.025
1770; 73; 0.025
1780; 74; 0.025
1790; 75; 0.025
1800; 75; 0.025
1810; 75; 0.025
1820; 75; 0.025
1830; 75; 0.025
1840; 74; 0.025
1850; 74; 0.025
1860; 74; 0.025
1870; 74; 0.025
1880; 74; 0.025
1890; 75; 0.025
1900; 76; 0.025
1910; 76; 0.025
1920; 74; 0.025
1930; 74; 0.025
1940; 73; 0.025
1950; 73; 0.025
1960; 73; 0.025
1970; 72; 0.025
1980; 72; 0.025
1990; 73; 0.025
2000; 73; 0.025
2010; 74; 0.025
2020; 74; 0.025
2030; 74; 0.025
2040; 73; 0.025
2050; 72; 0.025
2060; 72; 0.025
2070; 73; 0.025
2080; 74; 0.025
2090; 73; 0.025
2100; 74; 0.025
2110; 74; 0.025
2120; 74; 0.025
2130; 74; 0.025
2140; 77; 0.025
2150; 75; 0.025
2160; 75; 0.025
2170; 76; 0.025
2180; 75; 0.025
2190; 74; 0.025
2200; 76; 0.025
2210; 76; 0.025
2220; 74; 0.025
2230; 75; 0.025
2240; 76; 0.025
2250; 76; 0.025
2260; 74; 0.025
2270; 75; 0.025
2280; 76; 0.025
2290; 75; 0.025
2300; 76; 0.025
2310; 75; 0.025
2320; 75; 0.025
2330; 74; 0.025
2340; 75; 0.025
2350; 75; 0.025
2360; 74; 0.025
2370; 74; 0.025
2380; 74; 0.025
2390; 74; 0.025
2400; 72; 0.025
2410; 73; 0.025
2420; 73; 0.025
2430; 73; 0.025
2440; 74; 0.025
2450; 74; 0.025
2460; 74; 0.025
2470; 74; 0.025
2480; 74; 0.025
2490; 73; 0.025
2500; 73; 0.025
2510; 73; 0.025
2520; 73; 0.025
2530; 71; 0.025
2540; 72; 0.025
2550; 72; 0.025
2560; 73; 0.025
2570; 72; 0.025
2580; 71; 0.025
2590; 72; 0.025
2600; 72; 0.025
2610; 72; 0.025
2620; 73; 0.025
2630; 72; 0.025
2640; 71; 0.025
2650; 71; 0.025
2660; 71; 0.025
2670; 71; 0.025
2680; 70; 0.025
2690; 70; 0.025
2700; 71; 0.025
2710; 71; 0.025
2720; 71; 0.025
2730; 71; 0.025
2740; 72; 0.025
2750; 72; 0.025
2760; 72; 0.025
2770; 72; 0.025
2780; 72; 0.025
2790; 72; 0.025
2800; 72; 0.025
2810; 73; 0.025
2820; 73; 0.025
2830; 73; 0.025
2840; 71; 0.025
2850; 72; 0.025
2860; 72; 0.025
2870; 71; 0.025
2880; 72; 0.025
2890; 71; 0.025
2900; 71; 0.025
2910; 72; 0.025
2920; 71; 0.025
2930; 72; 0.025
2940; 72; 0.025
2950; 72; 0.025
2960; 73; 0.025
2970; 72; 0.025
2980; 71; 0.025
2990; 70; 0.025
3000; 71; 0.025
3010; 71; 0.025
3020; 72; 0.025
3030; 72; 0.025
3040; 73; 0.025
3050; 74; 0.025
3060; 74; 0.025
3070; 73; 0.025
3080; 72; 0.025
3090; 72; 0.025
3100; 72; 0.025
3110; 72; 0.025
3120; 73; 0.025
3130; 73; 0.025
3140; 72; 0.025
3150; 72; 0.025
3160; 73; 0.025
3170; 72; 0.025
3180; 72; 0.025
3190; 72; 0.025
3200; 71; 0.025
3210; 71; 0.025
3220; 71; 0.025
3230; 72; 0.025
3240; 71; 0.025
3250; 72; 0.025
3260; 72; 0.025
3270; 71; 0.025
3280; 70; 0.025
3290; 71; 0.025
3300; 70; 0.025
3310; 70; 0.025
3320; 71; 0.025
3330; 70; 0.025
3340; 72; 0.025
3350; 72; 0.025
3360; 71; 0.025
3370; 71; 0.025
3380; 71; 0.025
3390; 70; 0.025
3400; 71; 0.025
3410; 71; 0.025
3420; 72; 0.025
3430; 71; 0.025
3440; 69; 0.025
3450; 71; 0.025
3460; 72; 0.025
3470; 71; 0.025
3480; 70; 0.025
3490; 69; 0.025
3500; 69; 0.025
3510; 70; 0.025
3520; 70; 0.025
3530; 69; 0.025
3540; 70; 0.025
3550; 71; 0.025
3560; 70; 0.025
3570; 71; 0.025
3580; 70; 0.025
3590; 70; 0.025
3600; 69; 0.025
3610; 70; 0.025
3620; 70; 0.025
3630; 70; 0.025
3640; 69; 0.025
3650; 71; 0.025
3660; 70; 0.025
3670; 70; 0.025
3680; 70; 0.025
3690; 69; 0.025
3700; 70; 0.025
3710; 69; 0.025
3720; 69; 0.025
3730; 69; 0.025
3740; 69; 0.025
3750; 70; 0.025
3760; 71; 0.025
3770; 70; 0.025
3780; 69; 0.025
3790; 70; 0.025
3800; 70; 0.025
3810; 70; 0.025
3820; 70; 0.025
3830; 70; 0.025
3840; 72; 0.025
3850; 72; 0.025
3860; 71; 0.025
3870; 71; 0.025
3880; 70; 0.025
3890; 72; 0.025
3900; 71; 0.025
3910; 71; 0.025
3920; 72; 0.025
3930; 74; 0.025
3940; 75; 0.025
3950; 73; 0.025
3960; 75; 0.025
3970; 74; 0.025
3980; 74; 0.025
3990; 74; 0.025
4000; 73; 0.025
4010; 73; 0.025
4020; 73; 0.025
4030; 72; 0.025
4040; 72; 0.025
4050; 73; 0.025
4060; 72; 0.025
4070; 72; 0.025
4080; 72; 0.025
4090; 72; 0.025
4100; 73; 0.025
4110; 73; 0.025
4120; 72; 0.025
4130; 72; 0.025
4140; 73; 0.025
4150; 71; 0.025
4160; 73; 0.025
4170; 71; 0.025
4180; 72; 0.025
4190; 73; 0.025
4200; 73; 0.025
4210; 73; 0.025
4220; 74; 0.025
4230; 74; 0.025
4240; 74; 0.025
4250; 72; 0.025
4260; 73; 0.025
4270; 72; 0.025
4280; 70; 0.025
4290; 71; 0.025
4300; 71; 0.025
4310; 71; 0.025
4320; 72; 0.025
4330; 71; 0.025
4340; 71; 0.025
4350; 72; 0.025
4360; 70; 0.025
4370; 69; 0.025
4380; 69; 0.025
4390; 69; 0.025
4400; 70; 0.025
4410; 72; 0.025
4420; 71; 0.025
4430; 70; 0.025
4440; 72; 0.025
4450; 71; 0.025
4460; 71; 0.025
4470; 71; 0.025
4480; 73; 0.025
4490; 71; 0.025
4500; 71; 0.025
4510; 71; 0.025
4520; 70; 0.025
4530; 69; 0.025
4540; 70; 0.025
4550; 70; 0.025
4560; 70; 0.025
4570; 70; 0.025
4580; 69; 0.025
4590; 69; 0.025
4600; 71; 0.025
4610; 71; 0.025
4620; 71; 0.025
4630; 70; 0.025
4640; 69; 0.025
4650; 70; 0.025
4660; 68; 0.025
4670; 69; 0.025
4680; 67; 0.025
4690; 68; 0.025
4700; 68; 0.025
4710; 69; 0.025
4720; 69; 0.025
4730; 70; 0.025
4740; 70; 0.025
4750; 69; 0.025
4760; 69; 0.025
4770; 68; 0.025
4780; 68; 0.025
4790; 68; 0.025
4800; 68; 0.025
4810; 68; 0.025
4820; 67; 0.025
4830; 69; 0.025
4840; 70; 0.025
4850; 69; 0.025
4860; 70; 0.025
4870; 69; 0.025
4880; 70; 0.025
4890; 70; 0.025
4900; 69; 0.025
4910; 68; 0.025
4920; 69; 0.025
4930; 69; 0.025
4940; 70; 0.025
4950; 70; 0.025
4960; 70; 0.025
4970; 71; 0.025
4980; 69; 0.025
4990; 68; 0.025
5000; 69; 0.025
5010; 68; 0.025
5020; 68; 0.025
5030; 70; 0.025
5040; 70; 0.025
5050; 71; 0.025
5060; 71; 0.025
5070; 72; 0.025
5080; 69; 0.025
5090; 70; 0.025
5100; 69; 0.025
5110; 68; 0.025
5120; 69; 0.025
5130; 69; 0.025
5140; 70; 0.025
5150; 69; 0.025
5160; 70; 0.025
5170; 69; 0.025
5180; 68; 0.025
5190; 69; 0.025
5200; 69; 0.025
5210; 68; 0.025
5220; 68; 0.025
5230; 69; 0.025
5240; 68; 0.025
5250; 69; 0.025
5260; 68; 0.025
5270; 68; 0.025
5280; 69; 0.025
5290; 68; 0.025
5300; 68; 0.025
5310; 70; 0.025
5320; 71; 0.025
5330; 70; 0.025
5340; 69; 0.025
5350; 69; 0.025
5360; 69; 0.025
5370; 69; 0.025
5380; 70; 0.025
5390; 71; 0.025
5400; 70; 0.025
5410; 69; 0.025
5420; 69; 0.025
5430; 69; 0.025
5440; 69; 0.025
5450; 70; 0.025
5460; 69; 0.025
5470; 68; 0.025
5480; 69; 0.025
5490; 69; 0.025
5500; 71; 0.025
5510; 70; 0.025
5520; 68; 0.025
5530; 68; 0.025
5540; 70; 0.025
5550; 69; 0.025
5560; 68; 0.025
5570; 68; 0.025
5580; 69; 0.025
5590; 68; 0.025
5600; 67; 0.025
5610; 68; 0.025
5620; 68; 0.025
5630; 70; 0.025
5640; 70; 0.025
5650; 70; 0.025
5660; 70; 0.025
5670; 69; 0.025
5680; 70; 0.025
5690; 71; 0.025
5700; 71; 0.025
5710; 68; 0.025
5720; 69; 0.025
5730; 69; 0.025
5740; 68; 0.025
5750; 68; 0.025
5760; 68; 0.025
5770; 68; 0.025
5780; 68; 0.025
5790; 71; 0.025
5800; 71; 0.025
5810; 71; 0.025
5820; 70; 0.025
5830; 70; 0.025
5840; 70; 0.025
5850; 70; 0.025
5860; 69; 0.025
5870; 68; 0.025
5880; 68; 0.025
5890; 70; 0.025
5900; 69; 0.025
5910; 68; 0.025
5920; 67; 0.025
5930; 68; 0.025
5940; 68; 0.025
5950; 69; 0.025
5960; 69; 0.025
5970; 68; 0.025
5980; 69; 0.025
5990; 69; 0.025
6000; 69; 0.025
6010; 69; 0.025
6020; 70; 0.025
6030; 71; 0.025
6040; 72; 0.025
6050; 71; 0.025
6060; 70; 0.025
6070; 70; 0.025
6080; 70; 0.025
6090; 71; 0.025
6100; 70; 0.025
6110; 71; 0.025
6120; 72; 0.025
6130; 71; 0.025
6140; 69; 0.025
6150; 69; 0.025
6160; 70; 0.025
6170; 69; 0.025
6180; 69; 0.025
6190; 69; 0.025
6200; 68; 0.025
6210; 68; 0.025
6220; 68; 0.025
6230; 70; 0.025
6240; 68; 0.025
6250; 68; 0.025
6260; 69; 0.025
6270; 69; 0.025
6280; 68; 0.025
6290; 67; 0.025
6300; 68; 0.025
6310; 68; 0.025
6320; 69; 0.025
6330; 69; 0.025
6340; 67; 0.025
6350; 67; 0.025
6360; 66; 0.025
6370; 68; 0.025
6380; 68; 0.025
6390; 69; 0.025
6400; 69; 0.025
6410; 68; 0.025
6420; 70; 0.025
6430; 69; 0.025
6440; 69; 0.025
6450; 69; 0.025
6460; 68; 0.025
6470; 66; 0.025
6480; 66; 0.025
6490; 66; 0.025
6500; 66; 0.025
6510; 67; 0.025
6520; 67; 0.025
6530; 67; 0.025
6540; 68; 0.025
6550; 69; 0.025
6560; 68; 0.025
6570; 69; 0.025
6580; 69; 0.025
6590; 68; 0.025
6600; 68; 0.025
6610; 68; 0.025
6620; 68; 0.025
6630; 68; 0.025
6640; 69; 0.025
6650; 69; 0.025
6660; 68; 0.025
6670; 67; 0.025
6680; 68; 0.025
6690; 68; 0.025
6700; 69; 0.025
6710; 69; 0.025
6720; 68; 0.025
6730; 68; 0.025
6740; 68; 0.025
6750; 69; 0.025
6760; 69; 0.025
6770; 68; 0.025
6780; 68; 0.025
6790; 69; 0.025
6800; 69; 0.025
6810; 69; 0.025
6820; 69; 0.025
6830; 69; 0.025
6840; 68; 0.025
6850; 69; 0.025
6860; 69; 0.025
6870; 69; 0.025
6880; 68; 0.025
6890; 69; 0.025
6900; 69; 0.025
6910; 69; 0.025
6920; 70; 0.025
6930; 69; 0.025
6940; 69; 0.025
6950; 69; 0.025
6960; 68; 0.025
6970; 69; 0.025
6980; 70; 0.025
6990; 70; 0.025
7000; 69; 0.025
7010; 69; 0.025
7020; 69; 0.025
7030; 68; 0.025
7040; 68; 0.025
7050; 69; 0.025
7060; 69; 0.025
7070; 70; 0.025
7080; 69; 0.025
7090; 69; 0.025
7100; 68; 0.025
7110; 68; 0.025
7120; 69; 0.025
7130; 69; 0.025
7140; 70; 0.025
7150; 69; 0.025
7160; 68; 0.025
7170; 70; 0.025
7180; 69; 0.025
7190; 69; 0.025
7200; 68; 0.025
7210; 68; 0.025
7220; 69; 0.025
7230; 68; 0.025
7240; 68; 0.025
7250; 69; 0.025
7260; 69; 0.025
7270; 68; 0.025
7280; 69; 0.025
7290; 69; 0.025
7300; 69; 0.025
7310; 70; 0.025
7320; 69; 0.025
7330; 69; 0.025
7340; 71; 0.025
7350; 69; 0.025
7360; 67; 0.025
7370; 68; 0.025
7380; 66; 0.025
7390; 66; 0.025
7400; 67; 0.025
7410; 67; 0.025
7420; 67; 0.025
7430; 67; 0.025
7440; 68; 0.025
7450; 68; 0.025
7460; 68; 0.025
7470; 69; 0.025
7480; 68; 0.025
7490; 66; 0.025
7500; 67; 0.025
7510; 69; 0.025
7520; 68; 0.025
7530; 67; 0.025
7540; 69; 0.025
7550; 70; 0.025
7560; 68; 0.025
7570; 69; 0.025
7580; 70; 0.025
7590; 69; 0.025
7600; 69; 0.025
7610; 68; 0.025
7620; 68; 0.025
7630; 68; 0.025
7640; 68; 0.025
7650; 67; 0.025
7660; 67; 0.025
7670; 66; 0.025
7680; 65; 0.025
7690; 69; 0.025
7700; 69; 0.025
7710; 71; 0.025
7720; 70; 0.025
7730; 70; 0.025
7740; 69; 0.025
7750; 69; 0.025
7760; 69; 0.025
7770; 68; 0.025
7780; 69; 0.025
7790; 69; 0.025
7800; 68; 0.025
7810; 69; 0.025
7820; 68; 0.025
7830; 68; 0.025
7840; 69; 0.025
7850; 68; 0.025
7860; 67; 0.025
7870; 68; 0.025
7880; 67; 0.025
7890; 68; 0.025
7900; 68; 0.025
7910; 67; 0.025
7920; 67; 0.025
7930; 68; 0.025
7940; 68; 0.025
7950; 69; 0.025
7960; 70; 0.025
7970; 70; 0.025
7980; 69; 0.025
7990; 68; 0.025
8000; 68; 0.025
8010; 67; 0.025
8020; 66; 0.025
8030; 67; 0.025
8040; 66; 0.025
8050; 67; 0.025
8060; 67; 0.025
8070; 68; 0.025
8080; 68; 0.025
8090; 68; 0.025
8100; 67; 0.025
8110; 69; 0.025
8120; 68; 0.025
8130; 67; 0.025
8140; 68; 0.025
8150; 68; 0.025
8160; 69; 0.025
8170; 69; 0.025
